sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,1000,5,0.014635851043867207,0.017269198292910477,0.12457019735009585,0.2069742636732526,1,73,1.578852891921997
1,1000,5,0.010661028923006789,0.014364639765630864,0.032714670435034725,0.04248755183348374,0,200,3.7740590572357178
2,1000,5,0.007990320934762004,0.00864853667692117,0.18944374380140525,0.23846757993910467,1,62,2.6208090782165527
3,1000,5,0.02230278040845738,0.024294993425067683,0.040496679321669345,0.051584845857139114,1,153,3.474029064178467
4,1000,5,0.011378455067266906,0.015414795292642376,0.037002200358211605,0.04433911291501649,1,84,1.8063337802886963
5,1000,5,0.018818178709707065,0.020520709130132726,0.03615820021683055,0.050094008664219945,1,149,2.6335301399230957
6,1000,5,0.0128941130099375,0.014907601167222933,0.1317136049627595,0.21715070951742832,1,154,3.257539987564087
7,1000,5,0.010987056367840775,0.012703043837086187,0.1317525241380587,0.21022616266469646,0,200,3.5965590476989746
8,1000,5,0.02578199514754445,0.026715198614743637,0.15348950527928945,0.2444713318673049,1,171,3.6787729263305664
9,1000,5,0.014165797929964141,0.014738146400157954,0.029408408281977442,0.038759016508818675,1,89,3.533285140991211
