sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,8000,3,0.00498692255666755,0.005318722625284038,0.009088537190728736,0.011212179228445005,1,47,4.420206785202026
1,8000,3,0.006727396552783048,0.007677628858529565,0.007610274301934029,0.009623555398294162,1,66,5.830418109893799
2,8000,3,0.006773963014872125,0.007378891493532997,0.00944080712330353,0.011328594753673104,1,49,4.488483905792236
3,8000,3,0.006049348275016834,0.006456868993270589,0.008363391583197257,0.010589126812872496,1,67,5.076293706893921
4,8000,3,0.0026506702159247997,0.0028367202805398605,0.2126124248911148,0.3156609093938793,1,17,1.9986460208892822
5,8000,3,0.0034134193292452244,0.0036302406489389346,0.00805670544052666,0.010559143016800063,1,76,5.425161123275757
6,8000,3,0.003613635741152097,0.0038329141669729613,0.00878343301371213,0.011145285318842273,1,36,3.6990201473236084
7,8000,3,0.010469631172221633,0.012421005155013619,0.009201012213869184,0.01190419036282449,1,63,6.152040958404541
8,8000,3,0.011022090071594206,0.01345016958174841,0.008887120226368872,0.011146188287020102,1,30,3.1872620582580566
9,8000,3,0.00660280877894721,0.0072677648314849325,0.00837019269152431,0.011208643170739468,1,58,7.339241981506348
