sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_1_0,conf_1_1,conf_1_2,conf_2_0,conf_2_1,conf_2_2
0,5000,3,0.008416624638388251,0.009001201459252777,0.011736409462182311,0.014686104119648397,0.919,1,51,0,2025,65,55,61,1814,77,63,84,756
1,5000,3,0.0024195840220995004,0.0027808165667475076,0.010395960509077401,0.013522832687787888,0.9082,1,32,0,2269,69,88,89,1346,52,87,74,926
2,5000,3,0.008065586382884895,0.008632550177404684,0.010876603280036926,0.015026181729296508,0.9422,1,47,0,2446,85,31,72,1623,42,20,39,642
3,5000,3,0.009402629764672599,0.010284842943973024,0.012624133334197487,0.015458292724483793,0.8788,1,57,0,1816,135,49,182,1620,74,57,109,958
4,5000,3,0.017171224780125737,0.019492853656086932,0.011517467937459431,0.014264456968800696,0.873,1,73,0,2000,163,77,145,1567,47,81,122,798
5,5000,3,0.0022068725140865033,0.0024512225697714586,0.010004964592539101,0.012806246721645929,0.8902,1,64,0,2083,168,52,147,1759,63,53,66,609
6,5000,3,0.010303883173364614,0.011398348521465013,0.011062838382216899,0.013738274963450297,0.9104,1,57,0,2996,60,48,111,821,82,70,77,735
7,5000,3,0.005612321034996324,0.006409161248570986,0.014088585757878748,0.018096704780230025,0.9344,1,68,0,2952,42,21,67,1050,68,47,83,670
8,5000,3,0.006542897127868115,0.0076051771282225,0.20652268107242022,0.28464526725801864,0.3722,1,39,0,1762,65,96,78,61,1361,51,1488,38
9,5000,3,0.009602280824678974,0.010448200178774122,0.1365757349336695,0.22872383811746563,0.3646,1,45,0,1585,65,111,168,124,1325,70,1438,114
10,5000,3,0.009039097379644626,0.009834235314704719,0.010875086781827074,0.014450749852976319,0.9198,1,54,0,2471,107,66,128,1519,10,72,18,609
11,5000,3,0.0053505674861129005,0.005683153480654463,0.010892329591666996,0.013226317973647124,0.9014,1,45,0,2761,59,136,107,980,43,119,29,766
12,5000,3,0.0027464958246545637,0.003324305041486555,0.010102057489331856,0.012302240141801838,0.877,1,78,0,2026,112,51,161,1238,106,76,109,1121
13,5000,3,0.007162976740785208,0.007813095879787792,0.011380662149044811,0.014234132838244398,0.903,1,57,0,2091,113,18,138,1725,103,13,100,699
14,5000,3,0.013373189005229389,0.014288770115429119,0.01111572939888449,0.013842092671453008,0.8914,1,46,0,1865,162,49,131,1701,61,47,93,891
15,5000,3,0.007894076614883033,0.009151039014722206,0.010760441046809184,0.014040186147293826,0.9346,1,66,0,2665,41,50,49,1437,50,63,74,571
16,5000,3,0.015403943875171994,0.016437931914185733,0.013178659865078794,0.018313845334208694,0.8528,1,171,0,2029,164,136,140,1702,77,125,94,533
17,5000,3,0.003531110157491043,0.0037524751746996956,0.011939705843326267,0.014699120303205911,0.937,1,43,0,2175,63,13,80,1541,65,19,75,969
18,5000,3,0.005613685076700385,0.006792479213404963,0.014314796445051493,0.017636149445166015,0.9016,1,56,0,2808,148,74,197,1073,10,58,5,627
19,5000,3,0.002954525274839868,0.0032142783344843444,0.010950923066978712,0.013149005801492582,0.9078,1,63,0,2924,62,61,92,966,63,113,70,649
20,5000,3,0.012679769778040787,0.013453388262254026,0.1451176736648499,0.21461554835669286,0.2332,1,76,0,194,1768,23,1759,173,123,143,18,799
21,5000,3,0.004973810760970009,0.00527552416833572,0.011228000535224119,0.014221812644938936,0.955,1,38,0,3566,77,12,80,652,10,26,20,557
22,5000,3,0.007070008015733098,0.008430472165438139,0.009449772394167836,0.01248456249929881,0.9088,1,56,0,2519,73,119,54,1073,56,109,45,952
23,5000,3,0.004052013517133264,0.004458072527464659,0.007891981426177827,0.010271711072513852,0.9612,1,34,0,1746,37,22,27,1573,48,20,40,1487
24,5000,3,0.00456711890747392,0.005087144947767822,0.011458640225263533,0.014090689845136338,0.9376,1,36,0,2686,75,58,91,1257,11,72,5,745
25,5000,3,0.0057302490135356,0.006340208305666165,0.011806859078244384,0.015179595944636493,0.8638,1,74,0,2202,150,76,194,1519,43,159,59,598
26,5000,3,0.005550552070151112,0.0059580682231801674,0.010166284767817205,0.013708928721196903,0.8688,1,76,0,2612,209,56,247,1048,31,80,33,684
