sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4,bic_K5
0,2000,3,3,1,0,0,19.501978874206543,52599.815419069666,51213.691213000464,51011.06285187651,51124.79902774106,51246.0010157613
1,2000,3,3,1,0,0,18.99462103843689,52567.25290429595,49900.620434643126,49554.427397734515,49661.54130181418,49796.50920423467
2,2000,3,3,1,0,0,17.84934711456299,54182.627150727276,52044.29567732679,51344.88969051382,51456.56630774742,51570.67835099857
3,2000,3,3,1,0,0,18.66232705116272,54231.25416809082,53350.89087645485,52976.60201514169,53096.02645545772,53210.14263516836
4,2000,3,3,1,0,0,19.964772939682007,51837.094698116765,49917.275067711154,49499.81425930065,49610.68522534892,49736.366619436936
5,2000,3,3,1,0,0,18.7624249458313,53471.27375414058,52642.552679857465,52079.42219579072,52199.217859219265,52311.94597216518
6,2000,3,3,1,0,0,19.011502981185913,52809.86431955157,51540.3761358171,51174.71881907833,51296.42511265719,51405.83441893611
7,2000,3,3,1,0,0,18.25762414932251,51752.372827856234,50509.67213015822,49759.809662371685,49882.55902047516,49998.6252208166
8,2000,3,3,1,0,0,17.908421993255615,53563.01969615378,51351.28145212896,50420.7871086401,50540.070898837,50661.10619960768
9,2000,3,3,1,0,0,19.02408194541931,51806.88157939243,50736.595261089824,50241.53352418714,50362.382267724344,50478.57274011706
