sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4,bic_K5
0,3000,3,3,1,0,0,12.969516038894653,77105.00489684456,74247.62542812571,71666.1599486403,71796.70211780514,71925.54319081755
1,3000,3,3,1,0,0,14.296853065490723,76882.83583941119,75113.66309751752,73799.17467201821,73919.58845735082,74045.87021772818
2,3000,3,3,1,0,0,13.010295152664185,78074.06052205956,75672.403525388,73996.65968118631,74118.25967793935,74253.4098902176
3,3000,3,3,1,0,0,13.608408689498901,79616.89232774387,77085.48023913921,75459.65441595243,75583.17766154869,75712.35986467806
4,3000,3,3,1,0,0,13.409687042236328,80086.99962603868,78368.4454446115,77578.43229978731,77695.91688168654,77822.56038844968
