sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,5000,2,0.0011615347406094267,0.0011615347406094267,0.010991738569789185,0.013496534860599365,1,19,1.426259994506836
1,5000,2,0.004728512618765321,0.004728512618765321,0.010857807084175674,0.013715808742779771,1,87,3.004037857055664
2,5000,2,0.007667364839097607,0.007667364839097607,0.01346849443245239,0.019179335652318632,1,147,4.2957539558410645
3,5000,2,0.015380647620938187,0.015380647620938187,0.008706391244369286,0.010861235778061933,1,20,1.1353099346160889
4,5000,2,0.009239815657913722,0.009239815657913722,0.008314484059222332,0.010957204895033028,1,18,1.0725057125091553
5,5000,2,0.0061221984836184185,0.0061221984836184185,0.006983140439250968,0.008464035821612497,1,23,1.2801790237426758
6,5000,2,0.002281301532645469,0.002281301532645469,0.006400839934663641,0.007792888045490805,1,14,0.7430169582366943
7,5000,2,0.012044255996563252,0.012044255996563252,0.008325902784117024,0.011482447316701012,1,45,1.9121201038360596
8,5000,2,0.0011843233818645271,0.0011843233818645271,0.009442178181807122,0.011962744025298521,1,61,2.379175901412964
9,5000,2,0.007203864117837744,0.007203864117837744,0.0068376914500584505,0.008503448377831872,1,23,1.0104749202728271
