sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_1_0,conf_1_1
0,500,2,0.02462410008007497,0.02462410008007497,0.02738122696036478,0.039379532918747705,0.974,1,32,0,406,6,7,81
1,500,2,0.006948912949280794,0.006948912949280794,0.028517769671238664,0.037997884028171,0.978,1,16,0,374,7,4,115
2,500,2,0.029614124561640975,0.029614124561640975,0.019799848486925564,0.02475076753319133,0.95,1,41,0,309,13,12,166
3,500,2,0.03474302101809501,0.03474302101809501,0.026475668392919992,0.03303514667558241,0.94,1,61,0,325,11,19,145
4,500,2,0.005472841710811693,0.005472841710811693,0.029010950047804407,0.043432139207931174,0.956,1,41,0,411,7,15,67
5,500,2,0.005296581336600992,0.005296581336600992,0.02546579741789179,0.033610738358043415,0.852,1,91,0,224,37,37,202
6,500,2,0.015304320178267036,0.015304320178267036,0.025498629829885867,0.031444166871704246,0.962,1,27,0,394,11,8,87
7,500,2,0.02315691809587654,0.02315691809587654,0.030736360184319644,0.03827505178695547,0.956,1,52,0,383,15,7,95
8,500,2,0.010278856874824507,0.010278856874824507,0.03684710784498056,0.05207437469191627,0.914,1,71,0,387,11,32,70
9,500,2,0.013583816905927637,0.013583816905927637,0.3238513597467918,0.390848426418635,0.022,1,19,0,4,236,253,7
10,500,2,0.02747535803669829,0.02747535803669829,0.026752218462894724,0.03394353066676698,0.902,1,39,0,256,31,18,195
11,500,2,0.008653216444938605,0.008653216444938605,0.026315088726656777,0.03362623842368497,0.914,1,43,0,229,18,25,228
12,500,2,0.02567415736226461,0.02567415736226461,0.02706782268837519,0.033491637777280814,0.92,1,45,0,263,12,28,197
13,500,2,0.07522718396298805,0.07522718396298805,0.03185914715541492,0.037723109030715817,0.842,1,108,0,257,65,14,164
14,500,2,0.013137584442671199,0.013137584442671199,0.026838197415919834,0.04022410324830993,0.968,1,51,0,420,8,8,64
15,500,2,0.027203965790092627,0.027203965790092627,0.03162886233849198,0.043259846568734765,0.928,1,38,0,352,9,27,112
16,500,2,0.014483113503577782,0.014483113503577782,0.025211751335492506,0.03363560526300909,0.938,1,41,0,346,13,18,123
17,500,2,0.007654917077554585,0.007654917077554585,0.02808476141711062,0.03155678366992212,0.964,1,26,0,324,7,11,158
18,500,2,0.023609257323571997,0.023609257323571997,0.025979459150795588,0.03797801437437071,0.958,1,126,0,405,6,15,74
19,500,2,0.027881278921069175,0.027881278921069175,0.027212133944058803,0.03652545511305087,0.986,1,23,0,336,5,2,157
20,500,2,0.01502455448690923,0.01502455448690923,0.02463095582764422,0.03301080448124788,0.968,1,27,0,356,6,10,128
21,500,2,0.01909238304854094,0.01909238304854094,0.021074183617744175,0.028247213304419986,0.978,1,19,0,337,5,6,152
22,500,2,0.02252627283384806,0.02252627283384806,0.02646553227780931,0.03808676846160013,0.984,1,22,0,393,3,5,99
