sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4
0,1000,2,2,1,0,0,2.67258882522583,26544.801827784155,25141.897691820213,25245.244677608116,25345.71946123054
1,1000,2,2,1,0,0,2.7926220893859863,26046.185293163777,25188.715185675355,25291.51451209521,25396.816926580563
2,1000,2,2,1,0,0,3.133607864379883,25211.09782324871,25058.702803573215,25161.8888616102,25257.58598837863
3,1000,2,2,1,0,0,2.759565830230713,25499.981895743964,25102.031055353447,25196.880384687247,25299.085451818908
4,1000,2,2,1,0,0,2.717808723449707,26695.277211335946,25166.392556928076,25272.84296621322,25373.788237586094
