sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K2,bic_K3,bic_K4,bic_K5,bic_K6
0,1000,4,4,1,0,0,10.755128860473633,26626.82307879729,26453.82270174423,26391.20725435779,26483.271335212106,26588.29356393415
1,1000,4,3,0,0,1,13.018704891204834,25711.32943242649,25641.909592204895,25706.940780186495,25810.058196269183,25895.505803152606
2,1000,4,4,1,0,0,10.974667072296143,25704.056567020936,25580.15898302813,25514.393293069937,25610.317755903146,25711.3332169033
3,1000,4,4,1,0,0,10.774724245071411,26366.65046636589,26066.566748301517,26004.16728088591,26098.355693913618,26197.236471010267
4,1000,4,4,1,0,0,10.121225118637085,26326.799295820856,25724.89237361844,25581.53555206653,25685.438671832453,25780.661114674895
5,1000,4,3,0,0,1,11.233402729034424,26825.853368295062,26385.02317438886,26401.688508559942,26489.2181397084,26599.212647252167
6,1000,4,4,1,0,0,11.031055927276611,25335.71272642158,24882.45262351203,24864.71924515171,24966.703037551302,25067.377636592115
7,1000,4,4,1,0,0,11.406223058700562,26012.553457788224,25845.836142519434,25833.372850476433,25923.481342019848,26021.603569229865
8,1000,4,4,1,0,0,10.027724027633667,26129.825686096334,25893.852890992148,25697.336062620372,25794.573079409736,25904.455732543345
9,1000,4,4,1,0,0,11.610345125198364,26274.16501090018,25988.807584262944,25898.092508302092,26002.700946063997,26111.55899824851
10,1000,4,4,1,0,0,12.175802946090698,26711.357587225084,26551.3245966215,26512.1465808224,26604.470749351833,26716.667664667013
11,1000,4,4,1,0,0,10.9490487575531,26082.78010779616,25845.6022365789,25816.74082810401,25902.67816757933,26013.210356717027
12,1000,4,4,1,0,0,10.86113166809082,26108.7991606997,25754.602848935327,25414.00659914348,25512.05931774431,25618.39343734679
13,1000,4,4,1,0,0,10.390920162200928,25729.65044150648,25302.74341316345,25228.84574333982,25331.725674965066,25431.469039534004
14,1000,4,4,1,0,0,11.710052013397217,25853.448228517726,25587.087229833618,25577.694880898212,25687.452317478863,25779.159083460974
15,1000,4,4,1,0,0,10.530660152435303,25350.243206287792,24870.146358440685,24692.279726995817,24791.615120540428,24892.42398485126
16,1000,4,4,1,0,0,13.477200031280518,25896.708685574344,25815.34555924099,25794.730017755843,25895.52395291133,26010.64778737525
17,1000,4,4,1,0,0,12.641865015029907,25543.160365194428,25238.971557321816,25149.960781794696,25245.50527864322,25344.941174901982
18,1000,4,4,1,0,0,11.940545082092285,26658.382948327326,26432.510953782963,26377.049557052178,26480.56554749774,26590.884054345686
19,1000,4,4,1,0,0,11.181271076202393,26063.999808018965,25913.184117719407,25788.256195632675,25885.861460488864,25989.99384482821
20,1000,4,4,1,0,0,11.699717044830322,25801.281189402227,25691.236221970674,25670.194801460668,25766.071452516266,25879.89229111322
21,1000,4,4,1,0,0,11.700087070465088,26151.32372067276,25685.83130992243,25521.90202326067,25628.726201823498,25732.453638949653
22,1000,4,3,0,0,1,15.291516780853271,26620.143953108953,26461.60444979619,26528.222949845207,26621.47307758375,26731.82012834869
23,1000,4,4,1,0,0,11.787179708480835,26096.206925115057,25805.00057827032,25735.14863085273,25831.76947297349,25934.350060300767
24,1000,4,4,1,0,0,13.339990139007568,26870.40520922821,26584.595476190403,26470.26562343225,26570.487773080342,26665.384703303123
25,1000,4,4,1,0,0,12.931591033935547,25878.684576920674,25749.042381247742,25676.951071569354,25771.233401335092,25869.1106004442
26,1000,4,3,0,0,1,14.243641138076782,25301.747487987184,25161.0926983891,25170.566746494045,25268.116902218102,25362.14295731929
27,1000,4,4,1,0,0,14.342339754104614,26189.011576612695,26058.127862341626,25960.5192386118,26049.805734436726,26151.22126928269
28,1000,4,4,1,0,0,11.554093837738037,25954.751303537592,25681.788237591827,25549.814873036903,25656.82380994382,25752.707237316976
29,1000,4,4,1,0,0,11.425171852111816,26296.243615695857,25722.102580292274,25458.277081033084,25565.871830917193,25670.808967645393
30,1000,4,4,1,0,0,12.65403699874878,25919.993477361586,25650.12218983574,25595.075390519167,25692.726587473346,25796.054318497314
31,1000,4,4,1,0,0,11.39149785041809,25918.67047948259,25392.7304110899,25371.830920506527,25471.06295655101,25577.771059281866
32,1000,4,4,1,0,0,10.353729963302612,25869.836680140183,25517.251003037058,25327.622094162736,25427.59166295462,25535.314447879555
33,1000,4,4,1,0,0,11.681684017181396,25392.67439142983,25318.583372966652,25282.096446624637,25380.860978282442,25483.716887509636
34,1000,4,4,1,0,0,12.19906497001648,25756.921166829783,25483.67972718104,25340.37988735637,25444.865920414806,25546.02580323783
35,1000,4,4,1,0,0,11.851801872253418,25796.180957507742,25365.05386140012,25115.050150736948,25217.309161997226,25317.5157272414
