sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K2,bic_K3,bic_K4,bic_K5,bic_K6
0,3000,4,4,1,0,0,23.258882761001587,77974.74212538135,76789.291739254,76186.2260708324,76315.7478976033,76437.81993950863
1,3000,4,4,1,0,0,25.48817276954651,78577.56492029017,77885.9438780515,77331.01172123154,77459.30403955035,77589.51098718986
2,3000,4,4,1,0,0,24.403107166290283,78638.648752216,77701.94703570796,77273.14931634904,77397.81096594625,77519.61198330707
3,3000,4,4,1,0,0,22.43197989463806,77565.25282194921,77033.72450356495,76633.59630222316,76758.66024696988,76890.41140126507
4,3000,4,4,1,0,0,21.346694946289062,79340.01329354076,78580.44384866212,77777.85344155825,77900.65849006777,78026.42976757098
