sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K2,bic_K3,bic_K4,bic_K5,bic_K6
0,500,4,3,0,0,1,5.571120977401733,12598.477126426165,12458.069019689545,12470.220657600566,12552.732164236608,12649.627669036907
1,500,4,4,1,0,0,5.59824013710022,13534.156353622191,13487.784353882158,13483.237456470599,13569.298602139075,13648.896054193001
2,500,4,4,1,0,0,4.698896169662476,13171.508905983243,12834.402973840239,12811.127955511123,12900.657276495825,12991.947820019957
3,500,4,3,0,0,1,5.0257179737091064,12914.36174592839,12850.188146201344,12863.142219161311,12943.526297736327,13023.699889782618
4,500,4,3,0,0,1,5.852365970611572,13356.667816618166,13275.688157275199,13311.65441636287,13387.990047747136,13473.469845169691
5,500,4,4,1,0,0,6.405781269073486,13244.711943721046,13211.80952548764,13158.177005686286,13236.999673503398,13328.060524197035
6,500,4,4,1,0,0,5.236013174057007,13292.280489477662,13148.104996963868,13107.586742248088,13188.410874937777,13281.243561421548
7,500,4,4,1,0,0,5.440853118896484,12990.347052313171,12765.428238621165,12715.71312448886,12796.8142391628,12882.280614547508
8,500,4,4,1,0,0,5.865434169769287,13386.161077840852,13348.260464944251,13313.459660688048,13396.176606511384,13492.504322273113
9,500,4,4,1,0,0,5.3906028270721436,13060.939538023296,12759.450770123423,12703.929122475703,12798.107852337553,12876.718496396874
