sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4
0,500,2,2,1,0,0,1.4959189891815186,12967.528839342582,12785.79526046205,12880.552366896654,12974.008741608066
1,500,2,2,1,0,0,1.5948669910430908,12044.229522344593,11983.328953805221,12079.38286141055,12166.585680633465
2,500,2,2,1,0,0,1.5023138523101807,12852.421655317406,12346.575810681361,12437.69789083926,12526.997684036736
3,500,2,2,1,0,0,1.5028259754180908,12684.081525436284,12536.820488149866,12622.65145918155,12710.481853435938
4,500,2,2,1,0,0,1.5688979625701904,12187.509859686073,12117.405616891669,12206.304936112945,12295.423145711911
