sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,1000,3,0.028623815511667806,0.032712230379538194,0.029403641258689463,0.036559269327299374,1,64,0.7044758796691895
1,1000,3,0.012801428597336092,0.013866816039581913,0.1676913116307949,0.23315912296784783,1,41,0.5377202033996582
2,1000,3,0.01792204765618516,0.02175975638379706,0.021177843620859026,0.026070107967752176,1,41,0.43499112129211426
3,1000,3,0.025925678059550632,0.031653080942704845,0.026751000946039973,0.033392863174288044,1,33,0.3225867748260498
4,1000,3,0.02760236438073731,0.029379831553176174,0.023434644372561476,0.030034590960228164,1,73,0.7716600894927979
5,1000,3,0.005431980827791162,0.005761602311240689,0.02774365398049517,0.03555089326644829,1,67,0.7705278396606445
6,1000,3,0.02966269150003571,0.03306483740362912,0.03195844255823283,0.045886541463242586,1,67,0.6819713115692139
7,1000,3,0.015164137690546605,0.01643816232568778,0.02369722408851705,0.027893992165790596,1,48,0.5580258369445801
8,1000,3,0.014529889097223775,0.015479643155107215,0.02042456981674443,0.024975753264225135,1,33,0.4055140018463135
9,1000,3,0.026792362704562395,0.028977721619264492,0.02195244327864961,0.028420293404388938,1,37,0.5774672031402588
