sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K3,bic_K4,bic_K5,bic_K6,bic_K7
0,500,5,4,0,0,1,5.407748699188232,13263.740797404247,13243.16183955889,13273.74129093066,13354.261404391595,13440.734828740373
1,500,5,3,0,0,1,5.28276801109314,13259.234206480398,13277.923131237156,13306.030202645237,13385.648007871358,13470.227059335595
2,500,5,3,0,0,1,6.30430006980896,13475.458232569683,13509.272047824705,13560.199928723168,13646.201539691776,13740.226651849687
3,500,5,4,0,0,1,6.011045932769775,13410.000972523083,13361.74820621166,13397.46571274975,13473.00632494218,13567.638767179042
4,500,5,3,0,0,1,5.804887056350708,13036.628745804917,13091.7017297543,13152.629029951599,13237.141385372104,13314.411750256893
