sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K3,bic_K4,bic_K5,bic_K6,bic_K7
0,3000,5,5,1,0,0,52.99983787536621,78700.30670074637,78445.01667499781,78184.31646927194,78306.60814041371,78432.59480759646
1,3000,5,5,1,0,0,52.568418979644775,78012.60873010717,77754.02882652593,77637.74148375094,77757.68282170084,77883.55170079718
2,3000,5,5,1,0,0,52.491867780685425,77459.60660838989,77049.93218717456,76965.81858313088,77091.16158770688,77224.03995095768
3,3000,5,5,1,0,0,56.68962788581848,77156.8599304919,77003.51968809724,76942.02062820464,77073.01143110982,77186.87264292312
4,3000,5,4,0,0,1,60.80872392654419,77898.03735988047,77755.89963706653,77828.13211606689,77953.12642013517,78072.75251366025
5,3000,5,5,1,0,0,46.89227318763733,77364.94679506696,76681.37706797771,76546.18674414275,76670.72251388025,76799.11704005909
6,3000,5,5,1,0,0,46.82838797569275,78040.85565688294,77532.61608927182,77046.45010473974,77163.01639459892,77287.77077597044
7,3000,5,5,1,0,0,47.81192326545715,76556.55524758631,75788.16233783404,75361.24212064214,75492.23322127598,75613.90770336904
8,3000,5,5,1,0,0,46.11175513267517,77903.2363930817,77091.01800887642,76711.88594515187,76836.50788723055,76964.14965249044
9,3000,5,5,1,0,0,47.508827924728394,77474.11302793359,76796.37636712403,76618.87887451607,76734.2617515616,76858.28941962267
10,3000,5,5,1,0,0,49.12695097923279,79436.4664634669,78918.62683060384,78499.65003372965,78626.44410986622,78735.94957280274
11,3000,5,5,1,0,0,45.47130799293518,78073.47305783845,77620.18762310946,77331.2200372583,77459.03961935683,77585.4437072921
12,3000,5,5,1,0,0,55.33507704734802,76717.829232383,76303.54489476071,76162.45206024474,76288.02650041354,76421.28462418071
13,3000,5,5,1,0,0,42.52877998352051,74420.61397003717,73377.28661959546,73174.36916487463,73299.81250561099,73430.9149075272
14,3000,5,5,1,0,0,48.0951669216156,77398.39225716887,76918.33339958728,76537.31986533299,76664.1121000931,76790.46152788382
15,3000,5,5,1,0,0,52.31131863594055,79837.08933506919,79252.63137156871,78621.00349969145,78747.66902431494,78869.21655046144
16,3000,5,5,1,0,0,56.41028308868408,78835.31438088635,78782.78930422879,78749.94500813672,78871.60934770442,79006.9769639175
17,3000,5,4,0,0,1,53.90643525123596,79282.73950103119,79134.86900500229,79162.99749198854,79281.70669751671,79415.17104087507
18,3000,5,4,0,0,1,52.64868688583374,79777.59501805363,79288.42961386687,79300.52660894032,79417.46142511547,79541.96392543483
19,3000,5,5,1,0,0,42.407801151275635,77311.01208473353,76588.38255924513,75991.1454267875,76110.0896589958,76240.65034720594
20,3000,5,5,1,0,0,45.76236271858215,78098.298744889,77619.4296154679,77179.66812051322,77295.27177895217,77417.55881575824
