sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_3_0,conf_3_1,conf_3_2,conf_3_3
0,8000,4,0.009608811276630883,0.01121997937622172,0.012427797766566167,0.015686201048851746,0.8195,1,173,0,2976,211,90,70,266,1923,26,16,176,50,1087,126,195,33,185,570
1,8000,4,0.005045999505222026,0.006400201745109342,0.009998598580963103,0.013616285630156696,0.881625,1,91,0,2470,113,124,69,146,2313,34,36,93,52,1564,48,85,76,71,706
2,8000,4,0.003142692930728483,0.00328735543577765,0.011115128112162956,0.013265003305769622,0.8605,1,61,0,2436,128,158,141,90,2220,33,47,145,61,1275,50,159,52,52,953
3,8000,4,0.003426903558137351,0.004062784797369494,0.010452156962462262,0.013507988487018693,0.91575,1,76,0,3394,108,46,17,71,1672,59,40,50,76,1212,88,19,38,62,1048
4,8000,4,0.007104389725814779,0.008038102460639683,0.009016843633447994,0.011511475221460333,0.83275,1,146,0,2800,148,79,172,175,1681,66,39,133,68,1257,149,166,23,120,924
