sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,2000,4,0.009146907793706357,0.009976366126080159,0.018785355072916614,0.023902978906521113,1,68,1.8139731884002686
1,2000,4,0.008505359390922944,0.009824430859828865,0.15290258505247226,0.23525478088112978,1,110,3.082213878631592
2,2000,4,0.012608279812560935,0.012791385570385179,0.02391368571302208,0.031179163207184196,1,83,2.7266879081726074
3,2000,4,0.02218461759474998,0.023546312662655007,0.020978034011082017,0.029125796616746046,1,76,2.2364299297332764
4,2000,4,0.013507433858894587,0.014627855031199842,0.020411157284443725,0.024527502041490082,1,87,2.7881510257720947
5,2000,4,0.013010665374308339,0.013510197269262338,0.021842776361580007,0.029606135369512582,1,92,1.9840738773345947
6,2000,4,0.011729732926690759,0.01360091691683423,0.02147221694609342,0.028372665785052643,1,79,3.4246883392333984
7,2000,4,0.022353634489589724,0.025818329020540234,0.023916437166135625,0.029820692030754114,1,114,3.6452388763427734
8,2000,4,0.010271900275418869,0.013193906976296431,0.020375814176452796,0.02531199174499042,1,105,2.7544009685516357
9,2000,4,0.019320538660065986,0.021793832902134807,0.021671188939998566,0.02630597544784049,1,93,2.543062210083008
