sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4,bic_K5
0,1000,3,3,1,0,0,7.558919906616211,26348.629390448215,24805.814019353093,24548.078658872506,24634.637486599397,24741.476181431168
1,1000,3,3,1,0,0,6.932276248931885,26719.449795936016,25621.225135063443,24901.247961212885,24995.40860210746,25094.41534448556
2,1000,3,2,0,0,1,9.786785125732422,24961.95841803192,24588.401305055308,24632.17832638451,24723.830045749288,24826.808057477312
3,1000,3,3,1,0,0,7.929995059967041,26806.939238605606,25657.099004492327,25470.585943176568,25577.858320493197,25676.78341778604
4,1000,3,3,1,0,0,6.608680963516235,26488.664557942466,24717.709441319592,23945.178380770485,24050.028643199912,24145.966126191623
5,1000,3,3,1,0,0,7.992736101150513,25944.480201362894,25206.48220392419,24968.174617691464,25066.181411939615,25172.442604764037
6,1000,3,3,1,0,0,7.873151063919067,27155.920458939443,26824.340997545733,26292.224462879592,26380.348538808685,26478.289839354562
7,1000,3,3,1,0,0,7.34902286529541,26369.915911879652,25918.294681201485,25398.50176680335,25489.795331439644,25591.54376663832
8,1000,3,3,1,0,0,8.127059936523438,25572.549161923987,24660.819293548324,24292.00272479948,24385.886571190167,24488.527923932445
9,1000,3,3,1,0,0,8.594297170639038,25462.229117829083,24532.673587751833,24411.221526806065,24505.624868675906,24602.135937739342
10,1000,3,3,1,0,0,8.526583909988403,26116.97965660144,25490.84395784777,25298.016566840022,25403.10863021466,25514.92824373153
11,1000,3,2,0,0,1,8.750302791595459,26832.75582272069,26532.07401967011,26546.40230843822,26648.272857446304,26748.771342549393
12,1000,3,3,1,0,0,8.135619878768921,26259.367268165563,25713.89788773505,25596.627362237774,25693.33261171981,25797.77268266069
13,1000,3,3,1,0,0,7.532770156860352,26197.172359790937,25378.835932561287,24965.544918188712,25079.194122371704,25182.147701205897
14,1000,3,3,1,0,0,7.324761152267456,26608.018444305257,25491.23260248371,25158.50335695947,25260.458860447183,25364.25782979504
15,1000,3,2,0,0,1,8.734820127487183,26100.86226691145,25678.742129384573,25687.494435255856,25792.95521892135,25900.32257767253
