sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_0_4,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_1_4,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_2_4,conf_3_0,conf_3_1,conf_3_2,conf_3_3,conf_3_4,conf_4_0,conf_4_1,conf_4_2,conf_4_3,conf_4_4
0,8000,5,0.006041943746943984,0.0069415444761955205,0.01150594347262017,0.014412247648456705,0.791375,1,112,0,2306,191,111,39,55,242,1605,122,101,61,141,76,1025,22,34,52,106,45,781,41,91,68,33,38,614
1,8000,5,0.0013607326835305578,0.001824652854043695,0.11476928884770735,0.19492241075801076,0.69225,1,93,0,3178,29,28,60,36,46,1225,71,4,28,40,46,1024,53,98,34,26,84,57,819,51,4,37,868,54
2,8000,5,0.01103989653104458,0.012162807913408655,0.011756448134027259,0.015047852347769963,0.84725,1,123,0,2817,16,30,34,17,21,1647,86,139,69,56,137,842,110,62,59,160,73,678,11,31,72,31,8,794
3,8000,5,0.009195437043527007,0.010796725454992577,0.01212328412455518,0.015591900487212401,0.8305,1,112,0,1781,212,41,136,20,191,1417,38,124,47,42,50,1608,11,37,94,77,7,1214,21,29,95,52,32,624
4,8000,5,0.001983489654555476,0.002333268296678484,0.010110130210819003,0.012289566593710506,0.868125,1,47,0,1763,39,27,89,38,46,1526,93,51,71,24,92,1253,26,29,83,63,51,1213,32,42,77,52,30,1190
