sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,5000,4,0.010283299921301697,0.012511147841229402,0.01398620340028412,0.01854619762419876,1,83,6.556167840957642
1,5000,4,0.0067009362635759295,0.008164920548271734,0.012461371508113765,0.0176271251479987,1,79,8.163472175598145
2,5000,4,0.013270736881937036,0.014518477649020554,0.01443294375516703,0.01845195711525624,1,89,7.519101858139038
3,5000,4,0.0061910238461348535,0.006388253786325726,0.011461584447811968,0.014175666709701147,1,69,5.075728178024292
4,5000,4,0.004138836984254393,0.004396016410226969,0.012545622211251422,0.016253829373457162,1,62,6.016222953796387
5,5000,4,0.004395962077134455,0.004425871583545765,0.016119777640776482,0.019695279132034824,1,84,6.3032190799713135
6,5000,4,0.010683664612976512,0.012501270488436028,0.015611643340250881,0.01948206778293841,1,106,10.17648720741272
7,5000,4,0.015468415606935376,0.017145304451807585,0.013205120560615635,0.017918887533078298,1,98,9.95410680770874
8,5000,4,0.004437295888456663,0.005237069042781611,0.012839815697211729,0.016464707561086037,1,93,6.221487045288086
9,5000,4,0.003751950277763795,0.004149150415634176,0.12882136699614583,0.21156007062101906,1,98,8.676608085632324
