sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,1000,2,0.005424778079634901,0.005424778079634901,0.016238199284867073,0.020362595382827482,1,30,0.2503218650817871
1,1000,2,0.034651912915039246,0.034651912915039246,0.017515415255189785,0.021930555153926477,1,71,0.44024085998535156
2,1000,2,0.024140052678397056,0.024140052678397056,0.015856691080569984,0.019727258471746938,1,18,0.1603560447692871
3,1000,2,0.04222344560203542,0.04222344560203542,0.028289536965218538,0.03806348315896135,1,130,0.8156230449676514
4,1000,2,0.0019651523128688397,0.0019651523128688397,0.011724066924379902,0.014851733646807662,1,27,0.25445008277893066
5,1000,2,0.014650323231835488,0.014650323231835488,0.01448711277214797,0.01807781543773165,1,23,0.20061802864074707
6,1000,2,0.004554957409111132,0.004554957409111132,0.01764417215486876,0.02326058549348047,1,32,0.22062110900878906
7,1000,2,0.013516908791792417,0.013516908791792417,0.020366408455579875,0.027073335466097838,1,54,0.38822507858276367
8,1000,2,0.013504896583817677,0.013504896583817677,0.01704939764382754,0.021019814834422675,1,23,0.2679941654205322
9,1000,2,0.030820309740666837,0.030820309740666837,0.02413795368683839,0.0334965404069925,1,76,0.6197857856750488
