sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_1_0,conf_1_1
0,3000,2,0.0017213394304275986,0.0017213394304275986,0.013380689608616792,0.016160648928759094,0.9476666666666667,1,50,0,2105,71,86,738
1,3000,2,0.0013735450757134948,0.0013735450757134948,0.0101532318671204,0.013344754128322908,0.9093333333333333,1,52,0,1674,134,138,1054
2,3000,2,0.001736942660022861,0.001736942660022861,0.009697461452351702,0.011533173574566414,0.9146666666666666,1,45,0,1760,103,153,984
3,3000,2,0.0046757352463754065,0.0046757352463754065,0.011883733986273227,0.01536851227919572,0.9793333333333333,1,29,0,2193,36,26,745
4,3000,2,0.025700468228392448,0.025700468228392448,0.01011142754562985,0.012976531742956326,0.9496666666666667,1,25,0,1891,75,76,958
5,3000,2,0.007858223736766395,0.007858223736766395,0.011944855439037796,0.01687171453792341,0.9736666666666667,1,24,0,2379,26,53,542
6,3000,2,0.0008318917500830247,0.0008318917500830247,0.009359812836599406,0.011725926350488133,0.943,1,38,0,1679,83,88,1150
7,3000,2,0.01854965547380452,0.01854965547380452,0.010482029749368493,0.014001177524607528,0.9603333333333334,1,40,0,2364,72,47,517
8,3000,2,0.012228920101558238,0.012228920101558238,0.011150905561008447,0.015834789263675424,0.978,1,17,0,2117,25,41,817
9,3000,2,0.019640347846148737,0.019640347846148737,0.009403545232307303,0.013103964058706178,0.97,1,41,0,2180,55,35,730
10,3000,2,7.266659264362763e-05,7.266659264362763e-05,0.008348941706149535,0.01018281590762924,0.9653333333333334,1,23,0,2060,48,56,836
11,3000,2,0.028867834667235304,0.028867834667235304,0.012368968006327042,0.015059640372206536,0.9033333333333333,1,53,0,1842,159,131,868
12,3000,2,0.016493417474664707,0.016493417474664707,0.00986348978199272,0.013239083100701834,0.9683333333333334,1,26,0,1756,47,48,1149
13,3000,2,0.004682841618396716,0.004682841618396716,0.012886586166642473,0.015630552282207822,0.9393333333333334,1,28,0,1913,82,100,905
14,3000,2,0.006382462124051247,0.006382462124051247,0.010851189943047526,0.013763642586808124,0.9253333333333333,1,58,0,1959,104,120,817
15,3000,2,0.011156416747664682,0.011156416747664682,0.01036562726425391,0.01461217655580733,0.935,1,34,0,1552,100,95,1253
