sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_1_0,conf_1_1,conf_1_2,conf_2_0,conf_2_1,conf_2_2
0,3000,3,0.013117589001928609,0.013953893604811798,0.01735278335146713,0.0222480668130692,0.893,1,119,0,1662,41,78,50,684,9,121,22,333
1,3000,3,0.004832428250132599,0.005516290470931129,0.01242863681950314,0.015203407144558636,0.9086666666666666,1,38,0,1027,54,18,45,957,56,30,71,742
2,3000,3,0.014050042711392022,0.015538168048391362,0.013363101037756097,0.01749551388928874,0.861,1,98,0,1340,109,32,123,637,37,40,76,606
3,3000,3,0.004142955959565366,0.0044013526274052465,0.009436972561089314,0.01287684719052869,0.9426666666666667,1,102,0,1389,15,19,18,842,49,18,53,597
4,3000,3,0.013242872575135631,0.015545080737930348,0.013368133627840213,0.016502898337103986,0.921,1,51,0,1286,36,33,38,931,20,72,38,546
5,3000,3,0.01023197615690071,0.010975195418405111,0.013807117158131174,0.017549794606850532,0.876,1,81,0,1110,76,54,48,985,60,57,77,533
6,3000,3,0.0004225224787999619,0.0004781433375239607,0.012790602701740804,0.01626958591032746,0.8786666666666667,1,64,0,1278,98,42,128,779,14,76,6,579
7,3000,3,0.014348735620784184,0.01704556241392321,0.015013525607230035,0.02050973830167463,0.8956666666666667,1,79,0,1696,30,29,84,628,65,41,64,363
8,3000,3,0.008107213324476495,0.008639893898379805,0.013176340053080323,0.018417223106864593,0.924,1,62,0,1504,42,29,60,980,40,31,26,288
9,3000,3,0.002864464295404471,0.0030460094938255466,0.014259006748828008,0.017657804922013888,0.9036666666666666,1,44,0,1082,75,27,73,969,51,23,40,660
10,3000,3,0.009205547163464592,0.010648830813996802,0.19625667588075787,0.26796482963649043,0.329,1,36,0,63,932,41,938,39,18,52,32,885
11,3000,3,0.010629468147648516,0.011534606975345023,0.011603833061496103,0.01424855969295091,0.8943333333333333,1,45,0,1040,75,58,66,966,18,82,18,677
12,3000,3,0.013012145607248532,0.014739245482824502,0.016348359646069045,0.02009443572778631,0.896,1,48,0,1649,70,28,53,640,33,58,70,399
13,3000,3,0.011193185320348159,0.012625308753128095,0.01753157479217952,0.0216456291358324,0.8256666666666667,1,130,0,1458,74,34,148,542,128,78,61,477
14,3000,3,0.005555746875373052,0.0059771044420785695,0.01426437091197426,0.018329978542488315,0.8843333333333333,1,82,0,1191,57,38,74,899,50,49,79,563
15,3000,3,0.010897175673125833,0.011737737835461056,0.011453371323386734,0.015684659573342394,0.918,1,31,0,1433,56,17,95,968,17,32,29,353
16,3000,3,0.01493390509282457,0.01595231894455912,0.012403250105216276,0.015732615933356717,0.9053333333333333,1,51,0,1051,24,27,41,879,55,49,88,786
17,3000,3,0.01971760192183289,0.022945633858628314,0.014468217289867654,0.01870183541159561,0.881,1,76,0,1416,56,4,169,607,59,13,56,620
18,3000,3,0.016268323724477406,0.019083243611922415,0.012059948573929658,0.014764472184624025,0.9373333333333334,1,31,0,1175,41,24,44,946,20,46,13,691
19,3000,3,0.0092113966472466,0.009825162174642486,0.016640641212273426,0.0232328895557721,0.9073333333333333,1,100,0,1679,49,46,49,689,54,48,32,354
20,3000,3,0.006060482797036128,0.006520228848935822,0.012240098438738937,0.014006238537374854,0.907,1,50,0,1184,80,28,74,1064,39,14,44,473
21,3000,3,0.0052597836463659136,0.00579184422636156,0.010299048799766074,0.014009347333600616,0.9273333333333333,1,34,0,1162,63,60,47,1029,8,35,5,591
22,3000,3,0.0005942061745614532,0.0006302516382438613,0.015453432651836534,0.019198719045265347,0.8953333333333333,1,41,0,1420,43,51,42,679,72,49,57,587
23,3000,3,0.007215206708287421,0.007949416923143071,0.012745303602089463,0.01789185897429265,0.8596666666666667,1,77,0,1403,59,64,80,777,47,94,77,399
24,3000,3,0.000833287942657431,0.0009906780748371595,0.15808839257396531,0.23742256667691908,0.49266666666666664,1,56,0,1358,37,36,54,75,658,39,698,45
25,3000,3,0.0091420678144076,0.009885688782031126,0.01064618134320013,0.014293942823558208,0.939,1,40,0,1163,32,28,27,1074,19,50,27,580
26,3000,3,0.011968436604180926,0.013630354949610641,0.015597420122965862,0.01986084179855944,0.858,1,45,0,1354,51,87,79,650,59,115,35,570
27,3000,3,0.005802051176285637,0.006816169166019073,0.16658563846233626,0.24132581529525918,0.486,1,116,0,1413,85,98,167,29,520,73,599,16
28,3000,3,0.005747687955323766,0.006634579871895228,0.017080194593229483,0.02547619708907568,0.8153333333333334,1,125,0,1449,146,43,167,624,72,55,71,373
29,3000,3,0.015338121160839121,0.01798725890549693,0.01156272749291633,0.015170288237928584,0.9166666666666666,1,43,0,1230,64,15,108,1035,20,23,20,485
30,3000,3,0.010915300432431932,0.011784073451638713,0.019867025837772556,0.02722504986308553,0.8116666666666666,1,186,0,1320,82,51,130,844,61,97,144,271
31,3000,3,0.01159038377082644,0.012321572349081706,0.01631440821677125,0.020463050314718404,0.928,1,69,0,1652,49,29,34,750,28,51,25,382
32,3000,3,0.005579456900624086,0.005941621029891624,0.013064184083209677,0.017224364350574624,0.8916666666666667,1,54,0,1313,79,12,86,899,55,24,69,463
33,3000,3,0.007932299009590823,0.00873052772594624,0.013851459463679664,0.018603637484556162,0.91,1,44,0,1307,34,61,48,905,51,38,38,518
34,3000,3,0.0012562277965713076,0.0013453274012503146,0.014381966872885562,0.018230815077482837,0.8526666666666667,1,94,0,1328,98,65,98,789,36,93,52,441
35,3000,3,0.007473571598934821,0.008298022690688717,0.01567802680269607,0.019472317727843937,0.793,1,152,0,1370,109,111,149,569,44,157,51,440
36,3000,3,0.004503844293049518,0.005507359902873927,0.01343841602912941,0.018119380043507605,0.9636666666666667,1,56,0,1871,14,15,32,539,12,27,9,481
37,3000,3,0.007635433441815359,0.008951306051669763,0.01616506455397097,0.021932552548300586,0.9006666666666666,1,90,0,1384,56,58,41,988,35,67,41,330
38,3000,3,0.001966232012814493,0.00208581669118338,0.011083517270914795,0.014447847450812073,0.9376666666666666,1,33,0,1290,28,34,34,995,23,41,27,528
39,3000,3,0.014325424950515484,0.015517444190684316,0.013236176195908533,0.016699160611557684,0.9023333333333333,1,68,0,1582,42,25,61,643,73,27,65,482
40,3000,3,0.014380657124801124,0.017461299284054536,0.014993574119081692,0.01970638970658442,0.9443333333333334,1,32,0,1750,35,27,48,629,5,47,5,454
41,3000,3,0.03316706667417139,0.035718159581598026,0.013558781110211273,0.01774012839665435,0.8256666666666667,1,100,0,1477,87,27,208,610,60,66,75,390
42,3000,3,0.00247231329379922,0.002761230339037148,0.012665621072045581,0.017513344233245014,0.9316666666666666,1,112,0,1955,11,23,25,489,55,27,64,351
43,3000,3,0.00849227746851508,0.009019946876015723,0.013555557537916155,0.017459708157837296,0.926,1,94,0,1866,27,27,42,578,27,61,38,334
44,3000,3,0.009186903990081189,0.0099882613661761,0.013855556983586413,0.016356841342543185,0.921,1,40,0,1152,57,37,36,1004,32,42,33,607
45,3000,3,0.013787729542712531,0.015411066817997268,0.014655841829099887,0.018597275577645435,0.8786666666666667,1,77,0,992,131,50,92,829,19,59,13,815
46,3000,3,0.009539834904803063,0.011145307298436446,0.017403828420858036,0.02411066306420459,0.8826666666666667,1,144,0,2015,52,68,89,367,27,87,29,266
47,3000,3,0.025328345483579318,0.026870824338571186,0.015729913096199963,0.021392808831339746,0.8766666666666667,1,58,0,1222,92,42,104,961,16,96,20,447
48,3000,3,0.020234730550900016,0.0226383126576461,0.012143475985345976,0.01510250336433733,0.9213333333333333,1,51,0,1438,41,38,48,909,22,65,22,417
49,3000,3,0.010719923742993354,0.01142397976380246,0.014260458536258824,0.0187296699436368,0.8903333333333333,1,86,0,1504,105,43,80,723,20,42,39,444
