sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4
0,8000,2,2,1,0,0,24.481180906295776,193291.54892945732,189347.50710722952,189503.64415752448,189668.59601254883
1,8000,2,2,1,0,0,25.853944063186646,186285.0661920781,177261.3383741767,177415.42067296783,177568.83117618476
2,8000,2,2,1,0,0,24.743011236190796,200404.57570019097,196063.84999438096,196220.41017913996,196381.49404438777
3,8000,2,2,1,0,0,24.243566036224365,202566.23868018642,192506.32056620813,192652.2951445286,192787.79996347876
4,8000,2,2,1,0,0,24.069472074508667,209465.72032494133,199410.59948804928,199567.47784639825,199711.7293341465
