sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K3,bic_K4,bic_K5,bic_K6,bic_K7
0,2000,5,5,1,0,0,32.9817271232605,52556.575611743996,52492.591003199224,52446.759684923454,52563.16554150349,52684.5566666411
1,2000,5,5,1,0,0,34.3298978805542,52037.63968601912,51886.62451961907,51718.89265446877,51830.54795313445,51950.06125833885
2,2000,5,5,1,0,0,30.951276063919067,51713.95958839259,51522.22185275724,51341.507734443876,51459.83792330075,51577.00036579465
3,2000,5,5,1,0,0,30.136226892471313,52128.33888619367,51727.30031036053,51676.769524316725,51785.085508996206,51910.99156726023
4,2000,5,5,1,0,0,31.252708196640015,52249.556239988226,51664.962066887834,51564.5610470681,51676.69753708295,51794.38992530102
5,2000,5,5,1,0,0,27.128402948379517,50100.679698282795,49607.71995978975,49521.811752967915,49629.190436059136,49751.87743380122
6,2000,5,5,1,0,0,36.192495822906494,52089.61051841133,51886.96049940788,51795.839841812514,51909.826443683,52020.95845000511
7,2000,5,5,1,0,0,31.37767505645752,52450.114604366034,51971.896673941505,51619.26950546207,51725.18935366025,51852.699888899624
8,2000,5,4,0,0,1,33.590535163879395,52479.85896233694,52067.14249729985,52075.09716786,52183.1091611193,52296.879393083866
9,2000,5,5,1,0,0,30.089617013931274,52362.96422087775,51817.32769778208,51610.60151601182,51719.299236814804,51837.77142987381
10,2000,5,5,1,0,0,30.963106870651245,52818.43783079305,52481.554024010635,52262.02173413581,52373.94929122667,52505.58682335246
11,2000,5,5,1,0,0,40.18398118019104,53171.4191695421,53058.21281029192,53054.633833816064,53173.0000627757,53299.0318746977
12,2000,5,5,1,0,0,30.960922956466675,52164.23967044895,51842.46429868308,51769.99149281278,51878.113151037054,51998.797774648774
13,2000,5,5,1,0,0,29.517807960510254,52464.38278456845,51957.6754764858,51787.60397916996,51904.76919716294,52009.81176252547
14,2000,5,5,1,0,0,33.29137396812439,52203.39713368422,52186.40621156666,52072.52659809806,52192.01951816741,52300.76314000213
15,2000,5,5,1,0,0,38.2871618270874,52130.33700022117,51809.05967685005,51804.072050167306,51919.39909817738,52038.27034931731
16,2000,5,5,1,0,0,27.64367389678955,49583.80069393205,49109.20837156824,48803.290090199225,48927.453801792515,49045.17201497959
17,2000,5,5,1,0,0,30.535595893859863,51937.03798407238,51776.19439411482,51604.67017726072,51717.70915889237,51837.78869682062
18,2000,5,5,1,0,0,30.046982049942017,52240.930042693704,51528.955267443525,51508.80164349994,51616.42477669626,51747.2284914297
19,2000,5,5,1,0,0,29.278178930282593,51401.60469188536,50911.591696814896,50771.03202750099,50890.92336752263,51011.8529415249
20,2000,5,4,0,0,1,37.496824979782104,52158.97229822153,52117.33152786379,52164.830042142334,52282.16337100859,52391.818303355954
21,2000,5,5,1,0,0,27.813228130340576,50965.561281490984,50527.457969942196,50128.29042757368,50239.7976381794,50368.135954212084
22,2000,5,5,1,0,0,36.40092706680298,52356.54782781876,52211.8877593213,52159.01658020595,52277.181605687925,52385.764178402016
23,2000,5,5,1,0,0,32.443474769592285,53035.02397853038,52862.29625627465,52813.14056521731,52937.073940052636,53054.9588451519
24,2000,5,5,1,0,0,33.684871196746826,50941.337449429004,50709.708816432496,50690.06240199304,50810.715460023064,50932.55820883135
25,2000,5,5,1,0,0,31.434798002243042,52691.24965859924,52513.82190147462,52331.68353465895,52446.756782598946,52563.545063946665
26,2000,5,5,1,0,0,30.117085933685303,53240.88816653803,52745.19013518149,52450.151946156075,52553.15671250423,52677.8426357745
27,2000,5,5,1,0,0,37.98261284828186,51355.07780613883,51196.0877618781,51195.96998266416,51309.39232438293,51424.593841258335
28,2000,5,5,1,0,0,32.31917381286621,50933.01350941495,50671.489815790585,50512.99290163508,50620.56618927116,50742.358765169745
29,2000,5,5,1,0,0,30.00214910507202,52369.423923746144,52031.04035522143,51752.976483949635,51857.912650580656,51987.45531930183
30,2000,5,5,1,0,0,34.17717504501343,52055.29082580971,51779.37408786037,51491.4787224231,51600.56652602751,51720.13136400536
31,2000,5,4,0,0,1,37.8756058216095,51688.18645393061,51491.929991816156,51540.95253134627,51649.75750381093,51776.629448711916
32,2000,5,5,1,0,0,33.61193323135376,52464.20918479213,52143.27475443313,52017.59951744139,52136.62035106598,52244.26104178688
33,2000,5,5,1,0,0,31.536123991012573,52064.495233904745,51419.39445110163,51128.32835654384,51238.265154884335,51359.929629364495
34,2000,5,5,1,0,0,34.817826986312866,51884.59746488675,51731.806291815024,51627.183061971904,51745.57534253463,51863.79958065869
35,2000,5,5,1,0,0,33.48048996925354,52808.47056911,52639.48398554747,52503.32278890341,52615.70381456651,52735.52931679617
36,2000,5,5,1,0,0,31.47041082382202,52665.30722237629,52351.25197061801,52259.863726429685,52364.26296005772,52484.99897046155
37,2000,5,5,1,0,0,33.03575301170349,52056.90352896271,51731.16347945157,51627.20397490989,51740.08023947503,51876.25724862208
38,2000,5,5,1,0,0,29.24720287322998,51954.61731513352,51371.02154734396,51069.49144603313,51172.40944174519,51273.57731412339
39,2000,5,5,1,0,0,34.11841320991516,52854.26242041795,52577.17399046412,52358.0761397281,52477.317159085476,52592.888412486434
40,2000,5,5,1,0,0,27.369893074035645,52573.892861671826,52167.55693206714,51844.22675348296,51956.00966309809,52087.59441710076
41,2000,5,4,0,0,1,37.33724498748779,52981.39180704709,52808.049201730544,52840.37638201568,52934.861900187774,53057.90214902095
42,2000,5,5,1,0,0,31.55332088470459,51614.790414963405,51409.11079665478,51348.21571169728,51461.872110584496,51574.01466598052
43,2000,5,5,1,0,0,34.17336392402649,53179.17239844954,53059.80075181449,52957.7793337593,53076.90035507516,53200.55879710006
44,2000,5,5,1,0,0,34.54069495201111,51877.17875021774,51688.31241830575,51577.2594425239,51696.974278560396,51811.330833165426
45,2000,5,5,1,0,0,33.922290086746216,52068.68458556713,51681.83872689975,51652.67220702287,51768.64385739127,51888.77278859969
46,2000,5,5,1,0,0,32.7422308921814,53241.74705034181,52871.8091317841,52741.549457644425,52858.91683118972,52971.28062762431
47,2000,5,5,1,0,0,33.82780694961548,52657.76987661869,52375.10881782991,52199.840085766904,52314.240615876035,52435.63705188259
48,2000,5,5,1,0,0,31.963540077209473,52614.69378786877,52317.74241309014,52066.34218743357,52168.54015368359,52286.605355687156
49,2000,5,5,1,0,0,28.851031064987183,52851.11271455701,52353.94505517672,52094.00346672383,52213.01402368147,52333.43639997864
