sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_3_0,conf_3_1,conf_3_2,conf_3_3
0,3000,4,0.004282584213753365,0.004552273984341495,0.01995356806929862,0.026137631929275207,0.8656666666666667,1,162,0,1330,41,51,33,50,720,27,27,47,27,268,6,47,35,12,279
1,3000,4,0.02097286680820904,0.024240029479990915,0.145395683104168,0.24227697706847717,0.6503333333333333,1,156,0,1434,36,43,20,82,513,26,31,61,55,2,280,61,35,319,2
2,3000,4,0.012292240928878012,0.012885338665525298,0.1430329885634155,0.2268856811142644,0.298,1,76,0,31,893,44,27,896,37,27,31,31,27,502,4,55,57,14,324
3,3000,4,0.008418848822200987,0.010208407046054252,0.10238211373882508,0.16358104195076323,0.31833333333333336,1,105,0,119,852,35,56,872,100,14,35,17,19,465,16,53,51,25,271
4,3000,4,0.001651633520065969,0.0020032463131627806,0.0172938964913752,0.021709031326726858,0.89,1,49,0,991,31,26,21,35,719,44,4,27,71,617,15,33,6,17,343
