sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4
0,3000,2,2,1,0,0,16.565735816955566,68790.2526280865,64483.518409319615,64622.1549263191,64738.067414896104
1,3000,2,2,1,0,0,17.0622239112854,75425.181279966,72468.09790367879,72592.33283770089,72721.15937789099
2,3000,2,2,1,0,0,17.11877703666687,74054.89471356959,71623.1501313045,71750.31833343938,71880.41850077623
3,3000,2,2,1,0,0,17.255407094955444,71304.69692433378,68157.10905338725,68289.24356377061,68409.41151801188
4,3000,2,2,1,0,0,16.673968076705933,70911.8561667969,66629.233603121,66758.19242964705,66888.62112153132
5,3000,2,2,1,0,0,16.95207905769348,73204.47344777382,70250.71990753502,70374.31344524697,70507.63766849216
6,3000,2,2,1,0,0,17.12175416946411,71534.77051433311,70265.85146274861,70395.02698234533,70527.9907310614
7,3000,2,2,1,0,0,16.919219970703125,77568.91406505655,73881.42223629566,73994.41140806908,74115.06872256505
8,3000,2,2,1,0,0,17.263047218322754,73579.40181631238,69647.5877749909,69782.98779849449,69909.11748047819
9,3000,2,2,1,0,0,16.691993951797485,78700.03792476309,75978.81466473687,76112.37228061231,76235.84768026997
