sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,3000,5,0.009927313538859483,0.011002118595797571,0.01767735015307576,0.02236167121778289,1,72,4.333968877792358
1,3000,5,0.006268750871063789,0.00729902978935971,0.12920668047535952,0.22206874348959696,1,165,8.309252977371216
2,3000,5,0.017815900886955664,0.021825870115288047,0.02430298050823755,0.03194032535574839,1,145,8.18414306640625
3,3000,5,0.005600293752290636,0.00632834938416445,0.017362337044794805,0.023066953841072504,1,50,6.491549015045166
4,3000,5,0.007124735996262882,0.0076749273749948605,0.08805476735855794,0.1715316535717845,1,106,6.1056740283966064
5,3000,5,0.008673734946798869,0.0095954746297355,0.02205293234127965,0.0276373550598668,1,148,8.857699155807495
6,3000,5,0.00973071766877869,0.012675593103508825,0.019811228504537672,0.026719598825067997,1,74,7.230597019195557
7,3000,5,0.00876681753489777,0.009613440238126004,0.11266854200467016,0.1984813764471421,1,139,8.04920220375061
8,3000,5,0.0039025424244961,0.005091731694738615,0.11381851620326244,0.2001791738577692,1,56,5.242016792297363
9,3000,5,0.005370874450615057,0.005968328876958269,0.017108427853712912,0.023398682223757582,1,142,8.262327909469604
