sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,8000,2,0.004924270341544759,0.004924270341544759,0.00836666302976995,0.01130089708047335,1,43,3.2293319702148438
1,8000,2,0.0040721453597857005,0.0040721453597857005,0.007084314006945214,0.008849504507824502,1,50,3.052722930908203
2,8000,2,0.00631832357291634,0.00631832357291634,0.006843070271686033,0.00854738200399643,1,25,1.777843952178955
3,8000,2,0.00904246812297127,0.00904246812297127,0.007616336350764185,0.00904308812671428,1,42,2.826139211654663
4,8000,2,0.0006248023358660648,0.0006248023358660648,0.0066185106610632,0.00890445084746729,1,58,3.3110270500183105
5,8000,2,0.014747818020383247,0.014747818020383247,0.0075132840410525705,0.009768689092534042,1,116,5.010889053344727
6,8000,2,0.008998639198724151,0.008998639198724151,0.0040426547928633216,0.005141558776465613,1,16,1.0390567779541016
7,8000,2,0.0032026033793126213,0.0032026033793126213,0.00574994560547557,0.007245866337704753,1,27,1.6433899402618408
8,8000,2,0.0008955592783904676,0.0008955592783904676,0.005648616150067462,0.006987700872916884,1,43,2.9064252376556396
9,8000,2,8.692812590005428e-05,8.692812590005426e-05,0.005715645451964982,0.007219689818082482,1,15,1.1283299922943115
