sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_3_0,conf_3_1,conf_3_2,conf_3_3
0,500,4,0.01171007567309822,0.012388476522991814,0.1363375979406925,0.21020875114655999,0.628,1,86,0,239,12,11,3,8,67,4,3,17,7,7,49,12,0,60,1
1,500,4,0.008074952738125099,0.00858231699104672,0.038634029564247954,0.05140602650665381,0.862,1,90,0,148,7,3,10,8,118,6,7,1,1,103,1,6,10,9,62
2,500,4,0.015894162868635358,0.018756946467585762,0.1523364708525977,0.22798539429694684,0.662,1,62,0,219,5,3,8,11,106,0,4,8,6,4,54,6,5,59,2
3,500,4,0.0186749996911207,0.02300990159863252,0.15645092978250397,0.2505035200577864,0.656,1,115,0,190,8,7,7,7,135,2,1,7,4,2,57,10,3,59,1
4,500,4,0.014620801068995461,0.017706348007754374,0.1429322656940486,0.22340063426429851,0.262,1,59,0,8,156,10,2,168,10,2,1,4,5,60,3,6,4,8,53
5,500,4,0.017358625753910673,0.021741582321557824,0.0427950836661007,0.05468123063034878,0.802,1,130,0,149,8,9,7,10,123,9,8,12,19,62,3,1,8,5,67
6,500,4,0.024233903341140832,0.027954588909947908,0.03436686158086777,0.04487179475824231,0.902,1,150,0,205,6,4,0,3,130,1,5,7,3,63,2,8,8,2,53
7,500,4,0.008818588135395232,0.009798245658723908,0.192080828762409,0.30744185694198284,0.664,1,94,0,268,10,13,3,19,64,1,9,0,5,0,47,6,2,53,0
8,500,4,0.018435124108239893,0.019942576749807477,0.04506824269359046,0.062279499102877126,0.814,1,136,0,218,5,14,2,6,82,10,11,8,1,57,14,4,9,9,50
9,500,4,0.0279648940888512,0.030084829948731216,0.045880107686359056,0.05701966627262273,0.852,1,69,0,168,14,6,11,6,121,5,5,7,1,84,2,8,5,4,53
10,500,4,0.017858478147973568,0.02086083314245704,0.15891665373026326,0.23318794289808326,0.66,0,200,0,201,6,16,4,8,125,9,2,14,1,1,61,10,1,38,3
11,500,4,0.02928654762288177,0.03542144215363802,0.04117999396452321,0.05335773734559717,0.858,1,53,0,160,4,6,5,2,128,3,3,17,12,81,7,3,1,8,60
12,500,4,0.017985855512882398,0.022203895180710802,0.2131356837814109,0.289560392085454,0.532,1,104,0,253,6,3,5,9,13,76,1,13,14,0,47,7,49,4,0
13,500,4,0.015806749799124428,0.016565287902119294,0.037292561209560024,0.04737082349642497,0.8,1,199,0,116,21,10,6,32,114,2,1,4,3,105,3,5,1,12,65
14,500,4,0.017195414578218094,0.02042357141345192,0.15565086237279288,0.23578585695164248,0.528,1,119,0,201,2,4,0,9,8,81,11,1,118,4,1,3,0,6,51
15,500,4,0.03359896997309604,0.03773578696161618,0.04871657679933334,0.06449314739532548,0.814,0,200,0,158,9,1,3,12,126,5,1,10,10,87,6,8,16,12,36
16,500,4,0.011462213442767842,0.014090780445318541,0.035878605883216716,0.046791872036334496,0.88,1,67,0,158,4,4,5,12,128,7,2,8,3,82,1,7,1,6,72
17,500,4,0.01851426606289147,0.01930370456076611,0.04641044564786131,0.06104096096944166,0.86,1,82,0,154,3,6,4,6,126,2,4,6,5,100,8,14,7,5,50
18,500,4,0.035135828217657164,0.04416534131824441,0.14621047039879392,0.21195561163240462,0.422,1,105,0,140,9,7,0,25,8,103,0,9,116,6,2,10,7,1,57
19,500,4,0.03676808300359978,0.04391799999789826,0.21408777212476035,0.2585295198815238,0.132,1,128,0,11,3,107,4,129,9,4,6,12,113,9,2,11,25,18,37
20,500,4,0.02349907058426786,0.029818169695216255,0.052568838610230914,0.0808997387345069,0.836,1,137,0,185,5,6,4,11,120,1,8,20,1,89,3,17,6,0,24
21,500,4,0.023459684745100576,0.024968939804196812,0.04664431442202433,0.06589519864074703,0.804,1,99,0,185,11,12,3,18,112,1,1,15,3,59,26,4,2,2,46
22,500,4,0.028959391413700783,0.03549485479913515,0.1422446321394097,0.21479330451548642,0.446,1,84,0,142,5,3,3,17,6,100,1,11,118,8,6,9,2,2,67
23,500,4,0.017576353116389574,0.02063838384489732,0.040208562486830676,0.05283444804201282,0.916,1,50,0,191,4,3,7,3,114,1,3,5,2,88,1,10,1,2,65
24,500,4,0.009599675859690356,0.01124699318272152,0.13769585887776242,0.2165294541485947,0.588,1,127,0,156,8,11,1,10,123,25,1,9,11,15,67,9,6,48,0
25,500,4,0.013087836583500823,0.016231347116303797,0.2044474560628619,0.2849381914220072,0.464,1,145,0,213,5,7,5,15,10,1,64,1,86,9,0,1,2,81,0
26,500,4,0.021423697069424104,0.024661490732478135,0.04507838652359662,0.055774158414775316,0.782,1,119,0,155,13,7,12,29,104,10,5,6,1,81,4,7,10,5,51
27,500,4,0.009081485799184788,0.009148865799624614,0.04129161552932581,0.05335868498347499,0.918,1,48,0,237,3,4,4,7,84,1,3,6,4,81,3,2,1,3,57
28,500,4,0.026980133996587306,0.030098959339942766,0.052438121340685574,0.07260352828077005,0.858,1,151,0,204,16,5,1,11,140,2,1,4,8,47,1,12,7,3,38
29,500,4,0.0062868340269275486,0.007862159551865236,0.038010895170360645,0.04862963351444513,0.8,1,64,0,189,6,13,6,8,95,14,4,23,6,68,6,6,2,6,48
30,500,4,0.01846414107499684,0.020378683874110105,0.13210767451065636,0.21241314421661228,0.46,1,93,0,170,29,3,4,9,8,95,6,24,86,5,1,5,5,3,47
31,500,4,0.0042631119977296905,0.005095771780585571,0.20149275773131503,0.2672334846202346,0.384,1,67,0,180,9,5,3,7,3,86,4,8,21,8,75,5,84,1,1
32,500,4,0.012219207577371528,0.014391317191799263,0.03698601783394354,0.05006773211707111,0.914,1,60,0,190,2,4,3,3,106,5,7,5,7,83,1,0,4,2,78
33,500,4,0.023903449572353845,0.030904434164447003,0.04534292195079201,0.058688387540104005,0.878,1,150,0,173,9,16,0,10,138,5,4,3,5,68,3,0,4,2,60
34,500,4,0.05361974092872096,0.06130225379363914,0.13032055192769235,0.1915655344871229,0.604,1,137,0,177,8,2,4,5,115,5,0,23,41,2,36,8,19,47,8
35,500,4,0.013535032367993888,0.014481882202176895,0.03814141123397137,0.047492505010731795,0.908,1,56,0,238,7,5,2,10,87,3,3,1,1,75,6,2,2,4,54
36,500,4,0.038313482601090215,0.04632936294497842,0.05191769348721244,0.07035026986252288,0.834,1,134,0,208,17,12,10,3,98,11,1,5,2,78,2,11,3,6,33
37,500,4,0.03020050172075482,0.03585144151732754,0.04396567558098267,0.054600297813233736,0.85,1,81,0,162,9,4,3,5,131,9,4,24,4,89,1,1,5,6,43
38,500,4,0.014450608662636338,0.01938255230186702,0.03861286034742022,0.05118206430519424,0.906,1,51,0,221,16,3,0,5,91,9,3,4,2,74,0,4,0,1,67
39,500,4,0.023701614275531684,0.029268635808083657,0.23261264395946255,0.3030718607229703,0.156,1,62,0,8,6,127,8,149,14,1,1,2,116,1,1,8,2,1,55
40,500,4,0.013797212721628364,0.015113219947387456,0.22455650406492497,0.29899516158223627,0.544,1,96,0,263,11,0,7,0,4,79,3,11,5,2,50,4,57,1,3
41,500,4,0.034634994956306425,0.03576109885722093,0.2550612169713231,0.30800901574025663,0.064,0,200,0,22,143,21,10,144,6,11,14,12,6,2,50,8,2,47,2
42,500,4,0.003143891722718277,0.003873708434180865,0.037155020401051564,0.049299472473219835,0.88,1,69,0,178,3,19,10,3,132,0,2,7,0,72,2,6,2,6,58
43,500,4,0.04286210023137234,0.0527347346320181,0.14267911290233634,0.20736086273263254,0.59,0,200,0,173,9,29,12,10,107,8,1,15,1,11,45,2,0,73,4
44,500,4,0.008497439775394619,0.009464268708285562,0.03503852933922589,0.046027970673412515,0.89,1,139,0,190,10,3,1,16,98,0,5,4,2,92,1,5,8,0,65
