sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K3,bic_K4,bic_K5,bic_K6,bic_K7
0,1000,5,4,0,0,1,18.194474935531616,26341.563997751644,26261.257546171182,26297.2458370655,26395.2768386512,26496.97525882557
1,1000,5,4,0,0,1,16.49899697303772,26092.105651091893,25935.51513956705,25942.951594129983,26046.36682288029,26143.486287415708
2,1000,5,4,0,0,1,16.82034993171692,25443.03665782339,25441.683471619457,25493.200220912942,25590.957342475725,25693.12340035653
3,1000,5,5,1,0,0,14.851969003677368,26209.75415480694,26171.153478166714,26150.8543009231,26251.132582798466,26353.444420251097
4,1000,5,4,0,0,1,18.19420099258423,25698.186409171572,25662.83856059621,25737.03901761854,25833.140255760492,25939.69488133169
5,1000,5,4,0,0,1,17.441333055496216,25833.076944124627,25767.82903954455,25791.622340792786,25880.571381289854,25990.21189430232
6,1000,5,5,1,0,0,16.40268611907959,26267.717372881405,26184.910104845552,26181.567711008247,26283.80037944129,26388.646568795757
7,1000,5,4,0,0,1,16.557594060897827,26421.682162440095,26155.74066186737,26173.168746223517,26274.189674686637,26367.638920864545
8,1000,5,5,1,0,0,16.136911153793335,26573.782135734215,26515.379964134765,26423.986791965803,26520.291661833722,26620.8757225812
9,1000,5,4,0,0,1,17.052531003952026,25611.014181375267,25610.045247958435,25612.144452664063,25698.05937885441,25785.244464152875
