sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K1,bic_K2,bic_K3,bic_K4
0,5000,2,2,1,0,0,28.959105968475342,127043.2005956639,121881.97045548548,122014.4795108418,122147.92799956954
1,5000,2,2,1,0,0,29.38490915298462,116674.18330725849,114100.42107769607,114233.85524142656,114367.46258888589
2,5000,2,2,1,0,0,29.033962965011597,128405.04808240185,124885.07329014999,125027.14196869104,125164.28238946598
3,5000,2,2,1,0,0,29.374500036239624,127734.52480999862,125177.79615567076,125303.19717054606,125448.01273999407
4,5000,2,2,1,0,0,28.664907932281494,132795.22213493628,127578.99460139048,127716.94390936097,127851.18646361871
5,5000,2,2,1,0,0,28.86249804496765,128841.2596484218,122476.97856802007,122607.07780574201,122747.21021433543
6,5000,2,2,1,0,0,28.821354150772095,130575.50961438884,122218.90220042001,122348.78918599818,122489.27647622523
7,5000,2,2,1,0,0,30.187422275543213,126641.5053951195,124815.91216260033,124958.06673140448,125107.97407459217
8,5000,2,2,1,0,0,29.11919903755188,121066.44779651404,115513.79871927241,115650.09820229176,115789.83347528463
9,5000,2,2,1,0,0,28.8598952293396,130597.54228439445,126583.00177576294,126724.51203393406,126840.74313837884
