sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K3,bic_K4,bic_K5,bic_K6,bic_K7
0,5000,5,5,1,0,0,54.46145987510681,130736.81688365703,130115.56161588331,129526.81858968736,129665.4960033048,129807.22476694889
1,5000,5,5,1,0,0,53.06851387023926,126380.89527058497,125933.47097597524,125478.0119309558,125610.75788541205,125749.63650930263
2,5000,5,5,1,0,0,46.02288007736206,131453.9478064521,130346.06832348285,129724.68687393072,129849.11764076469,129989.32531542468
3,5000,5,5,1,0,0,53.42062592506409,129075.20178966073,127813.26349636578,127394.28133719134,127534.12900783373,127679.87190094305
4,5000,5,5,1,0,0,54.90685296058655,131447.05435351765,130990.33382983066,130769.27768823686,130905.63638314728,131043.28666078197
