sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,converged,n_iterations,computation_time
0,500,3,0.0012502466040734406,0.0013274014130443572,0.037901754202634384,0.05096501591000391,1,58,0.16266322135925293
1,500,3,0.0322498847260295,0.03658511178949672,0.0260535532803109,0.03315066855244188,1,47,0.18142366409301758
2,500,3,0.016351452040772447,0.019740004111624004,0.033156117243379364,0.04278520664053585,1,59,0.2384629249572754
3,500,3,0.01990349333876093,0.021142822072067552,0.027496987926798055,0.03704931168800508,1,61,0.21896791458129883
4,500,3,0.02338556926948711,0.02829514215089125,0.04485013571246816,0.0635678342965528,1,137,0.49873995780944824
5,500,3,0.013580184514982108,0.015109518281518785,0.03030000064268575,0.03786718374128648,1,69,0.26497387886047363
6,500,3,0.015271652115617587,0.016262398958371175,0.03267809547034877,0.04217472124636499,1,94,0.40700483322143555
7,500,3,0.006044219984581036,0.006414494159228073,0.1923616174006145,0.2662450509701548,1,31,0.2527289390563965
8,500,3,0.012127100022421816,0.014744263335676903,0.03333600485503399,0.042993565387032064,0,200,0.7441761493682861
9,500,3,0.04685923715046723,0.051776653298328444,0.038419545674309274,0.04912916574306579,1,81,0.3442678451538086
