sim_id,n,K_true,selected_K,correct,over_selected,under_selected,computation_time,bic_K2,bic_K3,bic_K4,bic_K5,bic_K6
0,5000,4,4,1,0,0,57.52361702919006,130244.32592155355,128167.4128811377,126960.20288971812,127091.95852363516,127230.4392835804
1,5000,4,4,1,0,0,54.58202385902405,127207.00379397815,125485.83130394702,124234.1150236845,124357.92036936787,124497.45809709512
2,5000,4,4,1,0,0,59.60569381713867,128753.46607031698,127188.49778105227,126972.26019341164,127105.4014435716,127251.59869660162
3,5000,4,4,1,0,0,54.074461221694946,125321.96386095312,123994.82390854866,122773.96130794163,122913.49543013213,123063.00281813375
4,5000,4,4,1,0,0,60.33007287979126,127373.19888652784,126286.45819442521,125876.0194319883,126012.50024546136,126151.86463304488
5,5000,4,4,1,0,0,54.64580202102661,128850.67087661878,126495.82004915664,124927.19652214299,125057.92331812043,125192.20660102967
6,5000,4,4,1,0,0,58.95679807662964,128150.94112028294,126927.3120483335,126532.96182597493,126674.19850271747,126819.56478613954
7,5000,4,4,1,0,0,55.16438603401184,130343.55753508638,128675.86400389326,127009.69858516083,127147.81867914116,127281.94462266205
8,5000,4,4,1,0,0,50.15867805480957,130921.22809045487,127516.85367595963,125150.32716915543,125287.2296792445,125428.25460883079
9,5000,4,4,1,0,0,57.8919620513916,126640.80748687043,125672.81708706032,125395.3288450178,125536.5679648483,125679.06905352783
