sim_id,n,K_true,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,converged,n_iterations,computation_time,conf_0_0,conf_0_1,conf_0_2,conf_0_3,conf_0_4,conf_1_0,conf_1_1,conf_1_2,conf_1_3,conf_1_4,conf_2_0,conf_2_1,conf_2_2,conf_2_3,conf_2_4,conf_3_0,conf_3_1,conf_3_2,conf_3_3,conf_3_4,conf_4_0,conf_4_1,conf_4_2,conf_4_3,conf_4_4
0,500,5,0.008262037474014194,0.010119970303969078,0.2090287304253934,0.30186873629506383,0.55,1,181,0,148,13,10,2,4,8,124,1,12,1,10,2,0,0,50,1,0,60,3,0,2,10,1,38,0
1,500,5,0.020910431326719353,0.026749853825155323,0.23708349243872115,0.30361621737333067,0.136,1,112,0,4,115,2,0,1,132,4,4,1,1,11,1,3,65,5,8,3,63,3,1,11,5,0,3,54
2,500,5,0.01611094637924498,0.019458896282760606,0.06510124425231392,0.08385353571396802,0.758,0,200,0,161,5,5,6,4,6,83,4,6,11,2,1,53,4,4,10,4,2,43,3,8,12,14,10,39
3,500,5,0.009069146373207382,0.010554011961957875,0.16188302100358976,0.24013809959928237,0.402,1,143,0,142,6,1,0,4,6,9,82,3,4,3,6,2,80,5,10,72,2,0,0,8,4,1,2,48
4,500,5,0.009842483336230511,0.011215846959258431,0.05074989147918121,0.06454315574840981,0.902,1,94,0,201,3,5,11,3,5,85,2,0,0,2,2,67,4,3,2,2,4,47,0,1,0,0,0,51
5,500,5,0.022656985251653043,0.028736967571336463,0.19323049904750098,0.2766525090233196,0.336,1,118,0,121,2,2,7,0,7,19,80,4,2,20,0,1,80,2,5,91,6,0,3,5,5,5,6,27
6,500,5,0.01485799133067393,0.02002780950121556,0.11234190721070238,0.1760488986211524,0.586,1,177,0,124,9,3,12,1,5,81,5,6,2,10,8,84,3,2,0,3,2,2,61,2,6,0,67,2
7,500,5,0.01720687039994736,0.01797608740357091,0.1922387423605344,0.2705523435047598,0.412,1,197,0,134,8,5,4,6,6,6,68,2,3,3,2,4,71,6,0,71,14,0,1,4,10,4,6,62
8,500,5,0.024770732060463936,0.02749320381587859,0.20319348786764962,0.2747019347025028,0.152,1,114,0,7,93,18,14,5,103,2,4,11,1,8,11,5,60,2,3,7,70,5,4,1,4,5,0,57
9,500,5,0.024840920384954508,0.025426937202205024,0.20909779965539724,0.2751727643091171,0.346,0,200,0,150,8,2,17,4,11,9,84,5,7,2,86,8,1,0,5,3,9,2,30,4,6,3,40,4
10,500,5,0.028013175598225738,0.034364496337761966,0.15629992242140925,0.21278106767113247,0.246,0,200,0,10,148,7,8,4,133,10,3,3,4,6,3,65,1,1,10,5,1,23,2,22,5,1,10,15
11,500,5,0.007564117016503424,0.008470781936868394,0.12155837562024985,0.17568763958259973,0.674,1,167,0,187,1,9,1,3,10,87,6,1,6,2,4,23,54,3,2,6,38,1,2,7,3,4,1,39
12,500,5,0.0080080770241549,0.008310784226591282,0.13996058899540706,0.21609261809169672,0.528,1,90,0,118,5,3,3,2,4,91,11,4,0,5,7,3,90,0,4,4,81,1,1,5,2,5,0,51
13,500,5,0.016574869696851426,0.017101601370590996,0.13298231290026633,0.21326912074227491,0.67,1,121,0,198,1,0,4,1,3,71,3,0,0,4,4,64,3,0,13,0,2,1,56,6,1,9,55,1
14,500,5,0.029644225707966394,0.03421184365799283,0.1408926479962213,0.21666374841002847,0.542,1,163,0,115,5,8,19,0,7,106,11,0,1,5,5,3,56,2,4,4,86,4,0,6,4,1,5,43
15,500,5,0.025719436431326664,0.036045422310960924,0.10524560177624555,0.16187057567503663,0.686,1,131,0,122,8,9,12,1,11,114,4,3,4,3,2,89,1,3,11,7,14,14,16,4,4,7,33,4
16,500,5,0.0075440462841532,0.008078633653082704,0.21938621450873977,0.2968283975602362,0.224,1,97,0,12,92,7,4,2,112,4,3,1,5,1,22,93,4,3,3,4,4,2,56,1,2,1,61,1
17,500,5,0.028473753789093403,0.036851928447993294,0.200377659854159,0.26210394425737976,0.106,1,140,0,5,126,2,8,2,12,10,21,59,0,111,3,0,3,2,22,2,54,2,2,11,4,1,2,36
18,500,5,0.007559673099544995,0.00876944015192061,0.1781232321696496,0.2544965350444614,0.24,0,200,0,4,108,0,3,2,22,4,92,5,0,84,2,9,5,2,12,5,1,64,5,12,16,0,4,39
19,500,5,0.034098165495243804,0.0433933001886106,0.06404582964316047,0.079572188694661,0.682,0,200,0,122,14,12,9,18,8,68,20,4,6,3,13,50,17,3,6,8,2,55,0,4,3,3,6,46
20,500,5,0.019946171244811472,0.02246624388190314,0.21156360148665393,0.2708135834526918,0.336,0,200,0,137,13,5,3,8,7,18,71,5,2,4,3,10,70,5,3,15,2,0,48,3,59,2,4,3
21,500,5,0.012439096582504597,0.013991377670748666,0.2399538576221211,0.31206701227733635,0.15,0,200,0,7,129,12,8,1,121,10,13,4,0,12,12,55,7,4,5,2,2,3,45,3,1,1,43,0
22,500,5,0.035953892651794425,0.04860820103089213,0.1371360356727112,0.20712488283635033,0.568,0,200,0,209,9,1,7,1,1,13,52,6,5,3,55,2,3,1,8,3,6,45,3,4,42,4,2,15
23,500,5,0.016058886676910956,0.016520608776485354,0.16373475862682696,0.2256804804789074,0.35,0,200,0,114,4,4,4,3,9,4,2,72,18,4,91,12,1,6,8,11,62,12,1,2,13,9,1,33
24,500,5,0.021611768757197426,0.025403462231849836,0.12932417865826518,0.20560156149455874,0.442,1,94,0,110,7,16,2,6,16,3,81,12,7,2,104,3,2,0,1,3,2,59,6,3,0,4,5,46
25,500,5,0.014522792596470057,0.01611467821444206,0.05471207833864567,0.07065617420419355,0.822,1,126,0,160,7,3,2,0,3,80,5,9,13,6,4,72,16,5,0,5,2,46,2,1,5,0,1,53
26,500,5,0.012361104301663445,0.015673448467333234,0.11717711993695142,0.19594397550414122,0.628,1,173,0,125,8,6,5,2,1,90,3,8,3,5,2,92,4,9,6,11,5,4,45,2,0,0,61,3
27,500,5,0.02151835572467491,0.02615984000771857,0.2017800670442616,0.2643764299004741,0.164,1,89,0,10,6,39,86,2,112,13,2,3,4,7,82,7,2,2,21,3,39,2,0,1,5,0,2,50
28,500,5,0.043949020498300385,0.05247415891674332,0.2368491136869535,0.31571183860917246,0.258,0,200,0,125,2,4,2,3,25,2,5,67,7,5,85,0,2,11,23,13,13,0,40,6,3,55,0,2
29,500,5,0.012736532311521729,0.01396770556752511,0.12659556815704293,0.18846477201681058,0.682,1,81,0,172,10,7,1,0,13,82,7,1,2,8,11,79,1,0,1,0,0,4,45,4,2,1,45,4
30,500,5,0.020472962526986976,0.02338641271290965,0.1209915742716108,0.18927570589199297,0.62,1,189,0,175,6,5,4,3,15,75,9,3,1,5,7,14,64,1,6,8,40,3,2,3,3,4,1,43
31,500,5,0.0113725110329019,0.013657137202361348,0.23749945561919517,0.3118536040179518,0.236,1,122,0,104,1,2,0,5,14,3,91,13,4,0,97,0,5,3,8,13,8,9,50,2,4,3,59,2
32,500,5,0.010620736049897503,0.011959132771447986,0.2215555814511913,0.29775823842447546,0.292,1,187,0,136,14,5,7,0,7,4,93,14,0,8,9,5,58,1,8,25,1,0,47,3,49,1,4,1
