n,K_true,M,pi_mae_mean,pi_mae_std,pi_rmse_mean,pi_rmse_std,theta_mae_mean,theta_mae_std,theta_rmse_mean,theta_rmse_std,accuracy_mean,accuracy_std,convergence_rate,mean_iterations,mean_time,std_time,conf_norm_0_0,conf_norm_0_1,conf_norm_0_2,conf_norm_1_0,conf_norm_1_1,conf_norm_1_2,conf_norm_2_0,conf_norm_2_1,conf_norm_2_2
500,3,5,0.018628129195824687,0.010168442119786784,0.021418096307424778,0.011694955398186793,0.03389170967311817,0.006914301359678513,0.045503607417507905,0.010840693641365449,0.908,0.01926655132606769,1.0,72.4,0.0,0.0,0.9460343417825021,0.03761242845461978,0.016353229762878167,0.09378806333739344,0.8867235079171742,0.019488428745432402,0.1074561403508772,0.048245614035087724,0.8442982456140351
1000,3,5,0.0225750668410954,0.006168667094666342,0.025874343059759636,0.0071210882981403495,0.05369168836578897,0.05706884051177859,0.07184319087948311,0.08073332262793098,0.7609999999999999,0.28515469485877304,1.0,50.4,0.0,0.0,0.7829268292682927,0.19065040650406503,0.026422764227642278,0.30894308943089427,0.6660412757973734,0.025015634771732333,0.07970244420828905,0.05526036131774707,0.8650371944739639
2000,3,5,0.012305870111714023,0.008563818333379328,0.014158534448601105,0.009490721003302238,0.017018454216712053,0.0028029193249073155,0.022479005722576616,0.0038876453674037193,0.9168,0.04373168187938809,1.0,70.8,0.0,0.0,0.954337899543379,0.0266031367877705,0.019058963668850504,0.07005948446794448,0.8869795109054858,0.04296100462656973,0.07124419204956119,0.06298399586990192,0.8657718120805369
3000,3,5,0.009877177699630845,0.004417505309151112,0.010990957097893977,0.004971740621853752,0.013189925479531179,0.002532009068386524,0.01686534667490985,0.0031039435156218704,0.9052666666666667,0.027451290194330274,1.0,81.6,0.0,0.0,0.9390670962319653,0.0357192884157445,0.025213615352290237,0.06094306049822063,0.9010231316725978,0.0380338078291815,0.08350668647845469,0.07726597325408618,0.839227340267459
5000,3,5,0.009095129917634195,0.004720192934429476,0.010038452960692983,0.005388360416173847,0.01143011490459071,0.000761968155617792,0.014591573646003456,0.0006630587777542361,0.90424,0.025681246075687225,1.0,52.0,0.0,0.0,0.9281631935285325,0.04545854216125913,0.02637826431020839,0.06230847803881511,0.9045511292702304,0.033140392690954486,0.06395348837209303,0.08887043189368769,0.8471760797342193
8000,3,5,0.005437660123052872,0.0015358232299516395,0.0059337664502314095,0.0017534567370878532,0.049423087018055666,0.08159709370711639,0.07168287311743282,0.12199051657799297,0.7994249999999999,0.19635047746313222,1.0,49.2,0.0,0.0,0.9333021661212405,0.04249129915329074,0.02420653472546881,0.08506471389645777,0.6915871934604905,0.22334809264305178,0.053636868406440864,0.29250416435313714,0.6538589672404219
