n,K_true,M,pi_mae_mean,pi_mae_std,pi_rmse_mean,pi_rmse_std,theta_mae_mean,theta_mae_std,theta_rmse_mean,theta_rmse_std,accuracy_mean,accuracy_std,convergence_rate,mean_iterations,mean_time,std_time,conf_norm_0_0,conf_norm_0_1,conf_norm_0_2,conf_norm_0_3,conf_norm_0_4,conf_norm_1_0,conf_norm_1_1,conf_norm_1_2,conf_norm_1_3,conf_norm_1_4,conf_norm_2_0,conf_norm_2_1,conf_norm_2_2,conf_norm_2_3,conf_norm_2_4,conf_norm_3_0,conf_norm_3_1,conf_norm_3_2,conf_norm_3_3,conf_norm_3_4,conf_norm_4_0,conf_norm_4_1,conf_norm_4_2,conf_norm_4_3,conf_norm_4_4
500,5,5,0.012839008977883284,0.004898839275137855,0.015619715866620264,0.006540976928571756,0.14476927591983987,0.07500761595466963,0.19880394894601094,0.10445672032634358,0.5496000000000001,0.2685022160057529,0.8,146.0,0.0,0.0,0.7663551401869159,0.1658878504672897,0.026869158878504672,0.02219626168224299,0.01869158878504673,0.2643097643097643,0.5134680134680134,0.15656565656565657,0.037037037037037035,0.028619528619528618,0.07272727272727272,0.03116883116883117,0.3246753246753247,0.3974025974025974,0.17402597402597403,0.0903790087463557,0.23615160349854228,0.3819241982507289,0.27988338192419826,0.011661807580174929,0.09316770186335403,0.09627329192546583,0.049689440993788817,0.16459627329192544,0.5962732919254657
1000,5,5,0.013393687275472058,0.004932339437141849,0.015998432690634515,0.005049329630408226,0.08484549825328334,0.06243759571475994,0.11677067084359931,0.08713246234989074,0.6852,0.2705634121606246,0.8,114.4,0.0,0.0,0.8211845102505695,0.1366742596810934,0.017084282460136675,0.013097949886104783,0.011958997722095672,0.21731601731601735,0.6891774891774892,0.05021645021645022,0.020779220779220783,0.022510822510822516,0.05200945626477541,0.0673758865248227,0.6134751773049645,0.25059101654846333,0.01654846335697399,0.035161744022503515,0.06751054852320675,0.3037974683544304,0.45710267229254564,0.1364275668073136,0.08834586466165414,0.03571428571428571,0.028195488721804513,0.20112781954887218,0.6466165413533835
2000,5,5,0.012709243933247686,0.004196729394196807,0.014935706215010178,0.005253195550140185,0.0730893259417497,0.040822543553594194,0.12435922908592234,0.07647439871063784,0.6500999999999999,0.1737905060698081,1.0,114.8,0.0,0.0,0.7061745919091554,0.1816891412349184,0.0525195173882186,0.030872959545777144,0.028743789921930444,0.2374356944994064,0.5670755836960824,0.15433320142461418,0.024535021764938665,0.01662049861495845,0.04626506024096386,0.24,0.64,0.04626506024096386,0.02746987951807229,0.07304964539007093,0.07234042553191489,0.04893617021276596,0.6921985815602837,0.11347517730496454,0.10598290598290598,0.05897435897435898,0.038461538461538464,0.13504273504273506,0.6615384615384616
3000,5,5,0.009347399009086491,0.004483546095428203,0.010826059051920927,0.005720590859561341,0.055320823108005124,0.0454986050444862,0.09419386949519704,0.08535516720470705,0.75,0.14150995253573745,1.0,107.6,0.0,0.0,0.890702479338843,0.028099173553719003,0.025619834710743798,0.04049586776859504,0.01508264462809917,0.03614088820826953,0.7359877488514549,0.1996937212863706,0.01225114854517611,0.015926493108728942,0.05206073752711497,0.22342733188720176,0.6641359363702097,0.028561099060014465,0.031814895155459155,0.07404021937842778,0.03153564899451554,0.038391224862888484,0.6718464351005484,0.18418647166361973,0.06027820710973724,0.05048943843379701,0.05461102524471921,0.20144255538382275,0.6331787738279238
5000,5,5,0.00666328704483978,0.0009121320876380973,0.008229296824193377,0.001512550326152141,0.09660841723834179,0.04551523422673426,0.16934906977186118,0.08268444562006694,0.69264,0.12654683875940956,0.8,135.4,0.0,0.0,0.9010812975570685,0.02262715258309972,0.021525830997196634,0.025730877052462953,0.029034841810172206,0.04608677600166079,0.7405023873780362,0.18310151546605774,0.017438239568195974,0.01287108158604941,0.07879924953095685,0.1977016885553471,0.5534709193245779,0.13742964352720452,0.0325984990619137,0.10636942675159235,0.041401273885350316,0.19331210191082804,0.3735668789808917,0.28535031847133757,0.16374059476890004,0.048011465424579,0.055535650304550335,0.29702615549982087,0.4356861340021497
8000,5,5,0.005924299931920321,0.0038272611175062424,0.006811799799063788,0.004229861299697401,0.03205301895794579,0.041363750071249414,0.05045279556703206,0.07224349778837695,0.8059,0.06215180005438297,1.0,97.4,0.0,0.0,0.9046818910868403,0.03719544794928588,0.018101275490720232,0.027342854960666005,0.012678530512487591,0.060191820085988314,0.8179914011685592,0.04519898577885569,0.046191158637415936,0.030426634329180906,0.043672528106082444,0.057797636206399536,0.829057365234938,0.031997693859901984,0.037474776592678,0.05475259309641218,0.07345689508586975,0.0442101683387179,0.6704642067675566,0.15711613671144364,0.04863464221646401,0.06298584811640422,0.04086107235399641,0.19453856886585605,0.6529798684472793
