n,K_true,M,pi_mae_mean,pi_mae_std,pi_rmse_mean,pi_rmse_std,theta_mae_mean,theta_mae_std,theta_rmse_mean,theta_rmse_std,accuracy_mean,accuracy_std,convergence_rate,mean_iterations,mean_time,std_time,conf_norm_0_0,conf_norm_0_1,conf_norm_1_0,conf_norm_1_1
500,2,5,0.020280600063980688,0.011934369531419263,0.020280600063980688,0.011934369531419263,0.026237092711850686,0.0033376592593870303,0.03571909407272473,0.006412340012393422,0.9596,0.014388884598883973,1.0,38.2,0.0,0.0,0.976457998929909,0.023542001070090957,0.09033280507131537,0.9096671949286845
1000,2,5,0.021681068317595094,0.015806726380628123,0.021681068317595094,0.015806726380628123,0.017924781902045057,0.005534729539477339,0.022987125162853984,0.007900789747106922,0.9276,0.02863284826907723,1.0,55.2,0.0,0.0,0.9454782892588965,0.05452171074110349,0.10067114093959732,0.8993288590604027
2000,2,5,0.0052266804279196945,0.0036068364799067805,0.0052266804279196945,0.0036068364799067805,0.013083113297210305,0.000503170323883902,0.01680844725903228,0.0006192802415733306,0.9469000000000001,0.02270330372434816,1.0,33.8,0.0,0.0,0.9571884984025559,0.04281150159744409,0.07032085561497327,0.9296791443850267
3000,2,5,0.007041606128186361,0.009405552490356078,0.007041606128186361,0.009405552490356078,0.011045308891998395,0.0013886387750768928,0.01387672413076009,0.0016749514614290372,0.9401333333333334,0.025618222681000585,1.0,40.2,0.0,0.0,0.9582752439753037,0.041724756024696275,0.09661153691004438,0.9033884630899557
5000,2,5,0.0076355750954648525,0.004752366937739117,0.0076355750954648525,0.004752366937739117,0.010467783078001775,0.0018531116842413306,0.013642023985758547,0.00302090941189965,0.9451599999999999,0.029611457242087903,1.0,58.2,0.0,0.0,0.9717060367454068,0.028293963254593175,0.13983193277310924,0.8601680672268908
8000,2,5,0.004996401946616827,0.0027600168352017356,0.004996401946616827,0.0027600168352017356,0.007305778864045716,0.0006256843729623008,0.009329064513295172,0.000999120440794276,0.9365500000000001,0.025075710358831303,1.0,43.6,0.0,0.0,0.9591541534646646,0.04084584653533545,0.12331265961327981,0.8766873403867201
