n,K_true,M,pi_mae_mean,pi_mae_std,pi_rmse_mean,pi_rmse_std,theta_mae_mean,theta_mae_std,theta_rmse_mean,theta_rmse_std,accuracy_mean,accuracy_std,convergence_rate,mean_iterations,mean_time,std_time,conf_norm_0_0,conf_norm_0_1,conf_norm_0_2,conf_norm_0_3,conf_norm_1_0,conf_norm_1_1,conf_norm_1_2,conf_norm_1_3,conf_norm_2_0,conf_norm_2_1,conf_norm_2_2,conf_norm_2_3,conf_norm_3_0,conf_norm_3_1,conf_norm_3_2,conf_norm_3_3
500,4,50,0.019591434876726304,0.010455714785311725,0.022873400479306135,0.012446930603059913,0.10286174306129608,0.07224758641881512,0.14378733782759118,0.10013048827097491,0.6769600000000001,0.23835141786865877,0.92,108.42,0.0,0.0,0.8363153755406999,0.08198977585528903,0.059378686590640974,0.022316162013370035,0.18492940454266424,0.6342848373235114,0.14103744628606507,0.039748311847759364,0.09412013536379019,0.2284263959390863,0.4911167512690355,0.186336717428088,0.08789062499999999,0.12220982142857141,0.24246651785714282,0.5474330357142857
1000,4,50,0.01506060129784286,0.00757934282755282,0.017410855421043113,0.008718091294348118,0.06475314857819846,0.05694582333546585,0.09446024159266202,0.08935901747632716,0.76918,0.18039043101007324,0.88,109.94,0.0,0.0,0.868008836228537,0.08128326137162367,0.02721156742644844,0.023496334973390903,0.12751728283739105,0.7606702735196875,0.08453561767357981,0.02727682596934175,0.08154149787057235,0.1153007167341851,0.6618884387659707,0.14126934662927185,0.08045333706450258,0.0926262767594795,0.17279977612984468,0.6541206100461733
2000,4,50,0.011781667119401023,0.005408558814719186,0.013493070922669947,0.006033979429835344,0.05202004185057911,0.05420019257457318,0.07842923024368552,0.08906549120819686,0.7872999999999999,0.15166212447410857,0.98,93.02,0.0,0.0,0.8837414127179849,0.06673544880344247,0.027202496288281038,0.022320642190291652,0.10800105624504884,0.7847900712965407,0.07310724659549586,0.03410162586291447,0.07934408886537953,0.10690293573128802,0.6783390637397514,0.13541391166358105,0.08547181248737118,0.06149390449249007,0.1806425540513235,0.6723917289688153
3000,4,50,0.008305498872956434,0.00401532280065889,0.00969026532914395,0.004564790566584048,0.05715976677982666,0.0687236879865989,0.08299950180597794,0.09842477296286412,0.7477333333333334,0.23250487211143675,0.98,88.32,0.0,0.0,0.8218490162179961,0.11522186548118878,0.04055322301802914,0.02237589528278587,0.2083513136184795,0.7005457545373779,0.049473283411600455,0.0416296484325422,0.07519788918205804,0.09306139913000071,0.7122940882835341,0.11944662340440702,0.07849156891495601,0.08651026392961877,0.16280241935483872,0.6721957478005866
5000,4,50,0.00773774895561907,0.004667446343482156,0.008979602073887136,0.0057132363667935105,0.032770619740805335,0.0452150726010094,0.05019340202525458,0.0759877597320118,0.8011159999999999,0.14499589561087584,0.94,87.32,0.0,0.0,0.8638050140417769,0.08114507102884203,0.03400774860094705,0.02104216632843409,0.1296129612961296,0.7695159346443119,0.07100032037102015,0.029870783688538342,0.07908792942985474,0.10514708857686238,0.7494638449399103,0.06630113705337273,0.0815825302330548,0.06182759817400357,0.09530419925785526,0.7612856723350864
