n,K_true,M,success_rate,over_rate,under_rate,mean_selected_K,std_selected_K,mean_time,std_time
500,3,5,0.8,0.0,0.2,2.8,0.39999999999999997,2.153046989440918,0.23146584218379945
1000,3,5,0.8,0.0,0.2,2.8,0.39999999999999997,4.380922412872314,0.46748928190569294
2000,3,5,1.0,0.0,0.0,3.0,0.0,9.106400728225708,0.591114020294705
3000,3,5,1.0,0.0,0.0,3.0,0.0,13.458951997756959,0.4832562592112684
5000,3,5,1.0,0.0,0.0,3.0,0.0,23.32547402381897,1.7056722995876403
8000,3,5,1.0,0.0,0.0,3.0,0.0,36.208095121383664,0.6721048208224529
