n,K_true,M,success_rate,over_rate,under_rate,mean_selected_K,std_selected_K,mean_time,std_time
500,5,50,0.12,0.0,0.88,3.56,0.6974238309665078,8.701649208068847,1.005617375891267
1000,5,50,0.48,0.0,0.52,4.4,0.6324555320336759,16.9065127325058,1.9119336380767917
2000,5,50,0.92,0.0,0.08,4.92,0.2712931993250107,32.56173690795899,3.0026269479386705
3000,5,50,0.84,0.0,0.16,4.82,0.43312815655415426,48.763658528327944,5.193835910727069
5000,5,50,0.98,0.0,0.02,4.98,0.13999999999999999,77.97796590805054,6.783119128563726
