K_true,n,pi_mae,pi_rmse,theta_mae,theta_rmse,accuracy,convergence_rate,mean_time_sec
2,500.0,0.0205831670089753,0.0205831670089753,0.0374050917077569,0.047987178426647,0.9053600000000002,1.0,0.0
2,1000.0,0.0156495308933663,0.0156495308933663,0.0271354991950425,0.0338543998833379,0.91012,0.98,0.0
2,2000.0,0.0104897300175995,0.0104897300175995,0.0167473007142068,0.022417816868429,0.9345599999999998,1.0,0.0
2,3000.0,0.0079379815125586,0.0079379815125586,0.0237895138834434,0.0290502567890596,0.90942,0.98,0.0
2,5000.0,0.0068668824606595,0.0068668824606595,0.0088167536550132,0.0113776677011821,0.95164,1.0,0.0
3,500.0,0.0263288158958156,0.0291481894583373,0.0514116306900049,0.0683750431504162,0.8514,0.9,0.0
3,1000.0,0.0197230635157512,0.0222709500603345,0.0459295826398034,0.061378978786697,0.82634,0.96,0.0
3,2000.0,0.0104826602590128,0.0116971521207267,0.0313813354698271,0.0426973712349765,0.8712000000000001,1.0,0.0
3,3000.0,0.0098886917102317,0.0109993342827786,0.023564555091248,0.0320582821903764,0.8673866666666666,1.0,0.0
3,5000.0,0.0073110159971505,0.0080811767006998,0.0230413199532179,0.0325759244903076,0.8634080000000001,1.0,0.0
4,500.0,0.0195914348767263,0.0228734004793061,0.102861743061296,0.1437873378275911,0.6769600000000001,0.92,0.0
4,1000.0,0.0150606012978428,0.0174108554210431,0.0647531485781984,0.094460241592662,0.76918,0.88,0.0
4,2000.0,0.011781667119401,0.0134930709226699,0.0520200418505791,0.0784292302436855,0.7872999999999999,0.98,0.0
4,3000.0,0.0083054988729564,0.0096902653291439,0.0571597667798266,0.0829995018059779,0.7477333333333334,0.98,0.0
4,5000.0,0.007737748955619,0.0089796020738871,0.0327706197408053,0.0501934020252545,0.8011159999999999,0.94,0.0
5,500.0,0.0186026667977799,0.0222403240641958,0.1582249807241389,0.2243346402590005,0.47104,0.7,0.0
5,1000.0,0.0146881900483196,0.0171358708240119,0.1090730129284209,0.1613930653566357,0.60084,0.76,0.0
5,2000.0,0.011051905401852,0.0134164192437157,0.077398705602658,0.1236288124470321,0.6695899999999999,0.94,0.0
5,3000.0,0.008894983356368,0.010521599746211,0.0590783759377129,0.0944928266084328,0.7259066666666666,0.88,0.0
5,5000.0,0.0067701273820941,0.0081409224676442,0.0682179533899233,0.1126220399971045,0.687624,0.92,0.0
